step,mean_reward,min,max
2200,-1266.6496368511407,-1696.9444959453529,-878.0821086802424
4400,-1311.0497695323463,-1850.9108186761366,-865.9909661939824
6600,-1173.1475769830242,-1731.4801406348604,-886.553639303632
8800,-1237.1831501276822,-1576.1948962393385,-867.8081835676045
11000,-1235.9180864535303,-1691.556575535103,-845.9191136002974
13200,-1177.4556939686631,-1773.1660642120385,-680.6554017820007
15400,-1257.896070002541,-1672.9615991364833,-867.4311216507062
17600,-1219.2198128481843,-1814.6183536355559,-863.8787323439121
19800,-1244.6380993172093,-1748.653109081931,-887.2324197391805
22000,-1184.7951086198366,-1750.6429637726637,-863.0382938774596
24200,-1183.923911624041,-1722.7982949979205,-930.8463684325616
26400,-1411.124246497362,-1824.8904497196813,-867.1367787433244
28600,-1396.631850860307,-1807.5327570094153,-1004.9000966753747
30800,-1100.9188908584335,-1500.9488428119378,-761.6568685515999
33000,-1238.7589876521442,-1550.9963478447874,-864.3741589680092
35200,-1261.969416204374,-1712.8565372951489,-801.7613525139541
37400,-1344.1579406654585,-1816.8421392278838,-877.882849917901
39600,-1149.6994631553873,-1592.4117538918572,-759.8641128171752
41800,-1259.1627542717345,-1797.4217102224688,-842.4683997626996
44000,-1203.1284820672302,-1603.749613191774,-769.3260975074415
46200,-1302.787170933591,-1818.3876663289054,-814.1312972695222
48400,-1125.7750921143545,-1749.1937783092758,-758.5965045347062
50600,-1090.7472423623228,-1751.1748987003875,-878.80224549779
52800,-1231.5930316850554,-1682.467337814382,-921.419039751573
55000,-1136.2634494882534,-1801.0331004368757,-766.8827879778723
57200,-1108.9329323586903,-1795.1357517419497,-760.1649863238944
59400,-1315.2822821780198,-1763.3273544236765,-888.7609555399385
61600,-1144.319396401368,-1535.8708885384478,-876.1057915850298
63800,-1154.2002083634795,-1812.4841990472564,-747.5773481082675
66000,-1281.305904508765,-1602.6366349614434,-879.4096428303375
68200,-1313.963788305939,-1770.7015147833374,-839.2724860155834
70400,-1119.8629566602879,-1581.8850140270752,-897.7877097374964
72600,-1140.1673044028403,-1495.4320905024756,-854.660142314179
74800,-1166.0298497235383,-1567.2400603821216,-871.574380352136
77000,-1203.994258213658,-1644.9902908490499,-766.4882401353682
79200,-1338.689444437564,-1690.3742040857776,-882.7923688890925
81400,-1203.5890552863964,-1862.8926238325212,-845.9159958605474
