time/fps,time/total_timesteps,rollout/ep_len_mean,time/time_elapsed,time/iterations,rollout/ep_rew_mean,train/std,train/learning_rate,train/entropy_loss,train/n_updates,train/clip_range,train/policy_gradient_loss,train/loss,train/explained_variance,train/value_loss,train/approx_kl,train/clip_fraction
331,2048,200,6,1,-1189.544178,,,,,,,,,,,
377,4096,200,10,2,-1240.05734,1.004946351,0.0003,-1.422755058,10,0.2,-0.002979427,4552.07666,-0.009908915,8993.043906,0.004393473,0.028271484
394,6144,200,15,3,-1259.91702,1.012156725,0.0003,-1.42746263,20,0.2,-0.000693441,3780.902344,0.122407973,9765.610503,0.002138447,0.003320313
409,8192,200,19,4,-1313.310969,1.02835393,0.0003,-1.438855726,30,0.2,-0.001055462,4437.834961,0.113033354,9779.1564,0.001548895,0.0046875
418,10240,200,24,5,-1273.809958,1.00788939,0.0003,-1.437431271,40,0.2,-0.003202209,5284.88623,0.013893545,12486.53154,0.004561538,0.022216797
421,12288,200,29,6,-1260.265647,1.02065599,0.0003,-1.434111315,50,0.2,-0.000979107,3190.656494,0.039294779,7216.930606,0.00111938,0.004248047
425,14336,200,33,7,-1244.376205,1.001947999,0.0003,-1.430338361,60,0.2,-0.002309774,3212.472656,0.004193068,7629.218983,0.002942699,0.020361328
426,16384,200,38,8,-1239.915726,1.006059527,0.0003,-1.422735238,70,0.2,-0.000420286,3277.133789,0.003242671,7051.115056,0.001038352,0.004394531
427,18432,200,43,9,-1234.474449,0.978535473,0.0003,-1.410803096,80,0.2,-0.003259071,3881.163574,0.002323985,8074.049774,0.003181667,0.015869141
429,20480,200,47,10,-1238.394905,0.968862116,0.0003,-1.391820626,90,0.2,-0.00250277,3358.310303,0.001435399,6827.879167,0.004429545,0.0265625
441,22528,200,51,11,-1232.133473,0.968551874,0.0003,-1.387476088,100,0.2,-0.000854419,3207.651367,0.000806332,7128.264261,0.002318408,0.008251953
443,24576,200,55,12,-1217.415183,0.973332345,0.0003,-1.388995299,110,0.2,-0.000275775,3964.10498,0.000619829,7845.283064,0.000884634,0.000488281
443,26624,200,60,13,-1202.604519,0.951768637,0.0003,-1.378844122,120,0.2,-0.001856375,2787.854004,0.000507534,5528.828599,0.002112738,0.009277344
445,28672,200,64,14,-1191.909357,0.964734733,0.0003,-1.376185131,130,0.2,-0.001516387,2670.584717,0.000305414,7413.566632,0.002146639,0.003466797
444,30720,200,69,15,-1194.829647,0.978559613,0.0003,-1.390617933,140,0.2,-0.002772332,3108.839844,0.000372112,7297.57713,0.003834229,0.024316406
444,32768,200,73,16,-1195.967298,0.961798489,0.0003,-1.388533506,150,0.2,-0.002886804,2728.306641,0.000234604,5770.502948,0.003623587,0.029785156
443,34816,200,78,17,-1201.730809,0.964766383,0.0003,-1.381636669,160,0.2,-0.000251701,3212.710205,0.000165403,6471.70731,0.001294761,0.001171875
443,36864,200,83,18,-1182.749496,0.969256282,0.0003,-1.386489506,170,0.2,-0.001429236,2773.412354,0.00013113,6172.764421,0.002327914,0.012744141
442,38912,200,87,19,-1174.753237,0.955212176,0.0003,-1.379275134,180,0.2,-0.002466579,2211.596436,0.000130713,4825.702709,0.001462989,0.014746094
442,40960,200,92,20,-1153.377879,0.950460434,0.0003,-1.368259993,190,0.2,-0.003153378,1733.843872,9.43E-05,4200.853944,0.003689881,0.035351563
441,43008,200,97,21,-1138.824419,0.963748932,0.0003,-1.375210926,200,0.2,-0.001552767,1958.490356,6.94E-05,4315.233566,0.003345244,0.017138672
441,45056,200,102,22,-1138.766761,0.959528267,0.0003,-1.38229246,210,0.2,-0.002055266,1970.005371,4.97E-05,4365.593091,0.003089731,0.008984375
441,47104,200,106,23,-1134.83577,0.976785123,0.0003,-1.385796891,220,0.2,-0.001920399,1882.174316,4.66E-05,4240.670873,0.004147167,0.028076172
446,49152,200,110,24,-1112.370398,0.969609499,0.0003,-1.391191574,230,0.2,-0.000930807,2566.341309,3.02E-05,5396.345956,0.0019532,0.010205078
448,51200,200,114,25,-1140.419598,0.993669212,0.0003,-1.399523708,240,0.2,-0.003082698,1615.453735,3.51E-05,3688.166401,0.004193047,0.031494141
453,53248,200,117,26,-1126.105689,1.001802802,0.0003,-1.417106386,250,0.2,-0.002727206,3492.355469,1.42E-05,6396.14817,0.0041715,0.018457031
455,55296,200,121,27,-1114.798379,0.993870497,0.0003,-1.416890895,260,0.2,-0.003421144,1580.867798,2.75E-05,3828.941369,0.00400469,0.033984375
458,57344,200,124,28,-1116.749976,1.007461667,0.0003,-1.421299106,270,0.2,-0.000968991,1616.428101,2.61E-05,3417.89687,0.002890967,0.012207031
459,59392,200,129,29,-1109.250189,1.004170179,0.0003,-1.424298851,280,0.2,-0.00092196,1444.463623,2.00E-05,3813.037751,0.00183683,0.011474609
457,61440,200,134,30,-1115.950334,0.975268126,0.0003,-1.408054531,290,0.2,-0.00190446,1607.724976,1.94E-05,3536.999775,0.003320321,0.007177734
458,63488,200,138,31,-1122.300552,0.962269604,0.0003,-1.386668935,300,0.2,-0.002738668,1842.797119,1.72E-05,3526.705772,0.003520956,0.024511719
460,65536,200,142,32,-1116.790814,0.949881077,0.0003,-1.373547766,310,0.2,-0.001219404,1404.58606,1.40E-05,3283.250767,0.001721246,0.012548828
460,67584,200,146,33,-1126.483045,0.937833846,0.0003,-1.36046785,320,0.2,-0.000696037,1627.46936,1.26E-05,3005.064714,0.002287583,0.009814453
459,69632,200,151,34,-1108.0271,0.939254344,0.0003,-1.355232562,330,0.2,-0.000766226,1852.881348,8.64E-06,4122.104073,0.002135342,0.014355469
