step,mean_reward,max_reward,min_reward
2199,-1399.251189,-752.216245,-1869.066166
4399,-1283.801354181818,-885.531228,-1859.212445
6599,-1301.480565,-631.313229,-1802.272109
8799,-1048.180742181818,-812.626993,-1711.685448
10999,-1062.2065695454546,-701.980565,-1382.309751
13199,-1157.178655,-796.619085,-1734.889544
15399,-1251.6590326363637,-762.310322,-1701.610375
17599,-1237.7154734545456,-878.284521,-1738.740832
19799,-1140.5034496363635,-751.264782,-1690.248255
21999,-1168.654999,-772.916439,-1449.639142
24199,-1153.283390181818,-896.489395,-1380.861155
26399,-1205.0698874545453,-782.207686,-1589.552395
28599,-1184.9835521818184,-861.365806,-1445.82301
30799,-946.6845556363637,-771.120206,-1103.208714
32999,-1218.9302228181818,-747.744603,-1550.803324
35199,-1162.5151638181817,-757.079983,-1562.393153
37399,-1185.9480748181818,-889.489432,-1650.952139
39599,-1135.3516393636362,-977.32373,-1511.238975
41799,-1085.4311958181818,-767.748644,-1525.601631
43999,-1103.274247181818,-896.590323,-1415.916397
46199,-1258.2269339090908,-986.352954,-1564.449252
48399,-1136.243962181818,-890.402665,-1376.577049
50599,-1022.6149699090907,-913.225009,-1165.787636
52799,-1022.0760176363636,-815.599716,-1406.941864
54999,-1126.361358181818,-779.616714,-1423.802669
57199,-1115.648802090909,-886.627442,-1441.506918
59399,-1023.9170972727271,-798.837966,-1152.603913
61599,-1048.3775125454547,-832.258091,-1266.865244
63799,-1100.9440974545455,-792.379951,-1334.296328
65999,-1106.5592344545455,-891.443998,-1326.164617
68199,-1110.797520181818,-925.110569,-1451.871792
70399,-1064.331136818182,-871.691455,-1207.965858
72599,-1074.7689336363635,-762.104409,-1476.023429
74799,-1089.6529474545455,-882.748213,-1518.313538
76999,-961.0402311818181,-755.692613,-1162.738319
79199,-1142.5814280909092,-684.855483,-1675.703278
81399,-1168.9348830909091,-885.283134,-1501.970913
83599,-957.1406586363636,-747.819379,-1297.280549
85799,-984.5800781818183,-645.074812,-1391.94489
87999,-1021.191975818182,-833.445395,-1462.672299
90199,-1015.0915881818182,-734.196719,-1295.22016
92399,-1023.8140458181817,-809.772942,-1287.578185
94599,-1017.7267944545455,-767.568631,-1355.628593
96799,-1154.8866361818184,-760.640723,-1427.954755
98999,-979.6507514545453,-734.580998,-1471.793135
101199,-1070.2712490000004,-762.429521,-1357.451961
103399,-1143.6236562727272,-744.713681,-1320.016325
105599,-978.5938631818182,-635.251886,-1212.27314
107799,-920.0840260909091,-671.511993,-1108.471807
109999,-1025.0161559090911,-869.536639,-1238.701172
112199,-891.1159994545455,-713.145493,-1049.688066
114399,-1004.5700870000001,-639.731099,-1334.187373
116599,-937.6356412727273,-636.451974,-1362.19421
118799,-1052.2805850909092,-634.83094,-1463.519172
120999,-978.1990559090908,-638.492759,-1365.287622
123199,-1077.1481657272727,-637.741263,-1573.493615
125399,-913.3923536363635,-649.62534,-1270.399693
127599,-989.4962796363634,-805.291231,-1232.569751
129799,-1045.2299894545451,-910.585714,-1145.687149
131999,-1034.8222394545455,-896.759713,-1152.963744
134199,-1030.1680385454547,-887.575165,-1213.421374
136399,-934.1223549999999,-785.408597,-1105.381341
138599,-964.1708121818182,-761.894086,-1295.935806
140799,-904.8255255454546,-749.355097,-1168.69567
142999,-989.8612318181819,-799.212113,-1284.231211
145199,-933.7063160909091,-641.193037,-1082.330005
147399,-869.9427572727272,-640.239202,-1114.732419
149599,-947.2735452727272,-763.953666,-1176.316586
151799,-997.2031164545456,-656.029904,-1294.946293
153999,-946.808742,-710.168839,-1193.798908
156199,-918.3381563636365,-763.876583,-1120.432074
158399,-970.2700229999999,-771.481709,-1257.288559
160599,-862.9876768181817,-527.154536,-1067.502216
162799,-892.8500294545455,-724.627257,-1137.360826
164999,-889.6782414545454,-778.99224,-1049.216138
167199,-878.0776470000001,-552.405555,-986.543775
169399,-848.7785589090909,-645.004399,-1091.680656
171599,-834.5942443636363,-642.105462,-1103.1394
173799,-757.6207386363636,-535.390636,-931.035926
175999,-843.4348768181818,-643.603761,-1122.889037
178199,-731.6600608181817,-517.690617,-937.372708
180399,-807.9645107272729,-624.298625,-1043.4698
182599,-792.6425143636363,-521.332622,-959.361277
184799,-789.5376507272726,-646.942885,-985.187158
186999,-823.9359900000001,-646.166291,-948.772323
189199,-795.9014750000001,-666.892398,-962.544438
191399,-738.149803909091,-521.597859,-1045.38013
193599,-668.8046635454547,-431.404772,-933.726789
195799,-600.589120090909,-392.652019,-902.560126
197999,-548.9526848181818,-388.341904,-1013.902045
200199,-521.9691601818181,-260.226966,-739.679498
202399,-460.5863637272727,-261.800208,-898.540266
204599,-308.93243045454545,-4.733087,-783.360074
206799,-283.6247032727273,-130.905376,-577.491337
208999,-230.68242918181815,-0.808052,-404.788252
211199,-211.13402163636366,-1.663826,-469.454759
213399,-264.54772918181817,-3.844247,-436.977857
215599,-362.47752945454545,-1.613832,-658.700224
217799,-202.04692599999998,-123.397447,-380.373014
219999,-268.6821918181818,-125.340382,-1004.883263
222199,-395.2559959090909,-2.246378,-1006.701056
224399,-187.95707518181817,-0.990356,-646.458128
