step,mean_reward,max_reward,min_reward,mean_len,max_len,min_len
2248,-226.0914248,-164.156305,-295.246718,224.9,303,161
4104,-240.35618937499999,-196.917703,-273.828233,232.0,272,187
6228,-244.6994847777778,-176.426354,-463.414688,236.0,423,175
8437,-227.9503734,-177.451594,-322.659245,220.9,297,176
10452,-229.13356222222222,-169.544661,-269.64248,223.88888888888889,273,168
12428,-223.00844211111112,-172.813996,-325.290574,219.55555555555554,327,164
14337,-227.1642896666667,-179.811924,-306.735878,212.11111111111111,246,162
16536,-212.44115318181818,-159.367792,-276.357345,199.9090909090909,255,149
18588,-244.7919208888889,-171.55515,-302.490563,228.0,253,168
20646,-307.959648,-175.724169,-948.218363,257.25,661,170
22610,-208.9509688,-164.546503,-269.137035,196.4,265,157
24816,-215.3589650909091,-166.737801,-352.770814,200.54545454545453,284,147
26733,-279.71944237499997,-152.540869,-874.856127,239.625,604,147
28714,-188.0467183636364,-149.496112,-219.259904,180.0909090909091,227,140
30911,-197.59954274999998,-157.39238,-401.524806,183.08333333333334,300,147
32852,-207.7427013,-151.822314,-304.351702,194.1,266,151
34886,-271.403226,-148.776801,-766.375518,226.0,534,137
36898,-174.70133541666667,-136.784918,-294.342866,167.66666666666666,275,128
39036,-168.94950146153846,-137.872683,-211.019969,164.46153846153845,206,132
40965,-154.53559646153843,-134.232295,-203.366073,148.3846153846154,199,126
43026,-152.672873,-132.734113,-198.493823,147.21428571428572,192,125
45057,-219.0501810909091,-128.654126,-943.598968,184.63636363636363,645,122
47119,-176.87264000000002,-128.747968,-596.945083,158.6153846153846,423,120
49231,-152.29294760000002,-127.766923,-192.33819,140.8,181,120
51232,-132.0938471875,-118.414278,-161.384584,125.0625,161,110
53252,-133.2442235625,-121.725318,-162.661325,126.25,156,113
55360,-124.24759027777776,-115.207622,-135.143711,117.11111111111111,129,107
57443,-122.61845572222222,-107.839998,-142.988112,115.72222222222223,139,102
59443,-117.43728366666667,-109.089063,-128.784845,111.11111111111111,125,103
61486,-114.57853773684211,-105.52917,-120.781908,107.52631578947368,114,101
63581,-110.53783905,-102.89133,-121.234147,104.75,113,100
65588,-105.6674049,-96.008953,-117.037388,100.35,109,93
67658,-103.48450095238096,-98.180562,-114.464604,98.57142857142857,108,94
69705,-102.28877142857142,-95.255751,-108.551333,97.47619047619048,103,91
71702,-99.06521704761904,-92.802246,-109.16692,95.0952380952381,104,90
