,mean episodic length,mean episodic rewards,timestep
0,200.0,-1277.9901390931113,2600
0,200.0,-1326.9552247745169,5200
0,200.0,-1310.8017574946643,7800
0,200.0,-1239.0310718626833,10400
0,200.0,-1049.056217407961,13000
0,200.0,-1370.6415805032188,15600
0,200.0,-1217.4170977186948,18200
0,200.0,-1146.0277197898918,20800
0,200.0,-1262.4087942774313,23400
0,200.0,-1167.4066637939798,26000
0,200.0,-1353.774675314838,28600
0,200.0,-1069.6071712856278,31200
0,200.0,-1207.3193833379935,33800
0,200.0,-1059.1886630912193,36400
0,200.0,-1190.1390789321254,39000
0,200.0,-1229.8249907246893,41600
0,200.0,-1213.9601502473365,44200
0,200.0,-1233.5693907867767,46800
0,200.0,-1223.2728582714462,49400
0,200.0,-1227.8400250076452,52000
0,200.0,-1069.4742177667204,54600
0,200.0,-1191.7256428656187,57200
0,200.0,-1233.0588388327446,59800
0,200.0,-1160.1013674568503,62400
0,200.0,-1241.6066861764234,65000
0,200.0,-1250.7439036466897,67600
0,200.0,-1138.0781541054964,70200
0,200.0,-1143.0187460334428,72800
0,200.0,-1272.2809199012897,75400
0,200.0,-1215.1377866044384,78000
0,200.0,-1275.5112868499104,80600
0,200.0,-1254.251009432712,83200
0,200.0,-1202.872102803181,85800
0,200.0,-1312.8192270336335,88400
0,200.0,-1441.6270385705227,91000
0,200.0,-1290.325756229782,93600
0,200.0,-1297.2974030051093,96200
0,200.0,-1159.379600316072,98800
0,200.0,-1278.6958378059423,101400
0,200.0,-1138.8528618314137,104000
0,200.0,-1218.3197748656416,106600
0,200.0,-1190.7260183119913,109200
0,200.0,-1206.6072693084664,111800
0,200.0,-1102.3483890219654,114400
0,200.0,-1161.4947780298628,117000
0,200.0,-1229.0009031195502,119600
0,200.0,-1114.6994455449824,122200
0,200.0,-1158.644742699289,124800
0,200.0,-1091.4142925556794,127400
0,200.0,-1285.6322033519314,130000
0,200.0,-1332.8525151436968,132600
0,200.0,-1107.7263673437546,135200
0,200.0,-1176.4733479463428,137800
0,200.0,-1009.7514322325262,140400
0,200.0,-1127.1910279932877,143000
0,200.0,-1149.3370832891567,145600
0,200.0,-1170.953827147404,148200
0,200.0,-1282.9138852383928,150800
0,200.0,-1204.405077292207,153400
0,200.0,-1167.8837124602378,156000
0,200.0,-1098.7955674556238,158600
0,200.0,-1125.152463515322,161200
0,200.0,-1133.2231601925575,163800
0,200.0,-1153.8300444374206,166400
0,200.0,-1132.4616427371782,169000
0,200.0,-1144.9082431577458,171600
0,200.0,-1117.6973026418402,174200
0,200.0,-1223.474985495957,176800
0,200.0,-1189.9722835924845,179400
0,200.0,-1182.8130918255893,182000
0,200.0,-1304.4270424509207,184600
0,200.0,-1175.4014642967713,187200
0,200.0,-1169.543153279715,189800
0,200.0,-1111.5331479585623,192400
0,200.0,-1239.3630035120425,195000
0,200.0,-1183.4377804371409,197600
0,200.0,-1182.5722389025307,200200
0,200.0,-1160.18318176706,202800
0,200.0,-1195.6967681426695,205400
0,200.0,-1243.9874462175376,208000
0,200.0,-1255.6928681981715,210600
0,200.0,-1138.1592890668367,213200
0,200.0,-1180.416756695601,215800
0,200.0,-1220.189206040139,218400
0,200.0,-1156.460213997697,221000
0,200.0,-1098.2867749604045,223600
0,200.0,-1187.7232879646983,226200
0,200.0,-1264.0274400910528,228800
0,200.0,-1155.6486527116338,231400
0,200.0,-1093.819878054414,234000
0,200.0,-1107.3654539578292,236600
0,200.0,-1197.6699518642135,239200
0,200.0,-1208.5037890982937,241800
0,200.0,-1122.283773033631,244400
0,200.0,-1155.5652353066982,247000
0,200.0,-1136.3577433440885,249600
0,200.0,-1238.928632739791,252200
0,200.0,-1028.875197941907,254800
0,200.0,-1133.7748839350877,257400
0,200.0,-1167.7969785876362,260000
0,200.0,-1135.4757050657533,262600
0,200.0,-1121.6643879861697,265200
0,200.0,-1188.602392561747,267800
0,200.0,-1209.44677282611,270400
0,200.0,-1015.564597507541,273000
0,200.0,-1200.4034346158119,275600
0,200.0,-1165.6950823424368,278200
0,200.0,-1198.0270337921631,280800
0,200.0,-1237.010794623808,283400
0,200.0,-1118.014175676125,286000
0,200.0,-1106.3554713115855,288600
0,200.0,-1191.348885626106,291200
0,200.0,-1262.580762704821,293800
0,200.0,-1210.9212939493368,296400
0,200.0,-1118.1560179750202,299000
0,200.0,-1121.3523643547119,301600
0,200.0,-1176.3437543858518,304200
0,200.0,-1256.8998782359847,306800
0,200.0,-1272.3271247664695,309400
0,200.0,-1243.7752878999095,312000
0,200.0,-1056.317419045901,314600
0,200.0,-1108.8925008973233,317200
0,200.0,-1134.7228688543023,319800
0,200.0,-1044.134360260393,322400
0,200.0,-1204.1070997084898,325000
0,200.0,-1198.0148385979671,327600
0,200.0,-1158.7817021484145,330200
0,200.0,-1077.8108207689884,332800
0,200.0,-1147.8323209645937,335400
0,200.0,-1137.773462871924,338000
0,200.0,-1169.0785158389117,340600
0,200.0,-1064.9480199909997,343200
0,200.0,-1113.5161991283314,345800
0,200.0,-1104.9605959857597,348400
0,200.0,-1066.1871937884114,351000
0,200.0,-1108.4351868175509,353600
0,200.0,-1099.5617540334647,356200
0,200.0,-1135.8428299207767,358800
0,200.0,-1115.5973025815642,361400
0,200.0,-1194.8763490162075,364000
0,200.0,-1172.31294479296,366600
0,200.0,-1145.1827811076037,369200
0,200.0,-1093.7043994386904,371800
0,200.0,-1081.2642116500176,374400
0,200.0,-1037.0881061304601,377000
0,200.0,-1095.4444128098107,379600
0,200.0,-1116.5089901894266,382200
0,200.0,-1172.526862238827,384800
0,200.0,-1271.148172544291,387400
0,200.0,-1149.0409964266266,390000
0,200.0,-1203.5728180351452,392600
0,200.0,-1085.0701539543834,395200
0,200.0,-1097.1805216977486,397800
0,200.0,-1075.9247270695503,400400
0,200.0,-965.4700204583468,403000
0,200.0,-1083.6320518408163,405600
0,200.0,-1203.5166244325555,408200
0,200.0,-1085.9110704756006,410800
0,200.0,-996.308455894193,413400
0,200.0,-1136.4968723877548,416000
0,200.0,-1063.287515535047,418600
0,200.0,-1005.1311688518192,421200
0,200.0,-1037.919978025692,423800
0,200.0,-1075.878166066099,426400
0,200.0,-957.1904203968429,429000
0,200.0,-1171.693059987636,431600
0,200.0,-1107.6104083539476,434200
0,200.0,-1069.4750794139636,436800
0,200.0,-1019.086880297101,439400
0,200.0,-1166.84127088431,442000
0,200.0,-954.0513631833694,444600
0,200.0,-999.8278401753856,447200
0,200.0,-1127.2308049761823,449800
0,200.0,-1170.592941072273,452400
0,200.0,-1101.54606544724,455000
0,200.0,-1099.4864095647606,457600
0,200.0,-1025.401353125165,460200
0,200.0,-1004.3406989458248,462800
0,200.0,-1088.5069924104525,465400
0,200.0,-1010.9089326345176,468000
0,200.0,-1037.569345734159,470600
0,200.0,-1048.2707692387105,473200
0,200.0,-1028.2571688280523,475800
0,200.0,-1144.8257593934247,478400
0,200.0,-1101.4331263830672,481000
0,200.0,-996.5376862259411,483600
0,200.0,-1051.7412594787731,486200
0,200.0,-1073.2133050246978,488800
0,200.0,-1038.4891293177561,491400
0,200.0,-1104.541569614556,494000
0,200.0,-996.1963838513132,496600
0,200.0,-1163.291873543876,499200
0,200.0,-925.0775973939228,501800
0,200.0,-998.047204268353,504400
0,200.0,-1064.8254418870667,507000
0,200.0,-1051.8834684683216,509600
0,200.0,-1006.3843045496194,512200
0,200.0,-1085.1369589392555,514800
0,200.0,-1046.9801926626135,517400
0,200.0,-1084.9980207758292,520000
0,200.0,-1053.8883688861788,522600
0,200.0,-1008.5668447483744,525200
0,200.0,-1008.2321036166078,527800
0,200.0,-969.7776459347963,530400
0,200.0,-942.6245489768861,533000
0,200.0,-993.8446879975959,535600
0,200.0,-1040.4184565265011,538200
0,200.0,-983.6281648677029,540800
0,200.0,-975.0429579884196,543400
0,200.0,-945.5386956452078,546000
0,200.0,-986.192370290032,548600
0,200.0,-959.0194309059395,551200
0,200.0,-1016.8174109142909,553800
0,200.0,-1073.071566267266,556400
0,200.0,-1036.1816913874975,559000
0,200.0,-1004.3542971477252,561600
0,200.0,-1139.096829515079,564200
0,200.0,-971.8761390266683,566800
0,200.0,-1017.0765709633208,569400
0,200.0,-1103.674808162115,572000
0,200.0,-1053.658280136902,574600
0,200.0,-1033.386663792155,577200
0,200.0,-1063.9561878103602,579800
0,200.0,-1058.8711214044342,582400
0,200.0,-975.5917409562716,585000
0,200.0,-1023.4602370200707,587600
0,200.0,-974.0850056965087,590200
0,200.0,-1053.5628289551378,592800
0,200.0,-954.9854518047852,595400
0,200.0,-1050.1244176626215,598000
0,200.0,-901.4885605796746,600600
0,200.0,-1045.9927202485678,603200
0,200.0,-1057.6249762685325,605800
0,200.0,-982.3049411679901,608400
0,200.0,-1009.0788058660369,611000
