,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",2200,0.204607,200.0,11,-1224.634815,-1633.46679,-739.713681,293.073728,0
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",4400,0.06509,200.0,11,-1441.585469,-1705.997609,-1175.833698,171.564497,1
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",6600,0.057938,200.0,11,-1364.33406,-1711.61671,-893.071549,305.084169,2
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",8800,0.058719,200.0,11,-1032.41003,-1311.034737,-784.85977,174.518126,3
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",11000,0.052153,200.0,11,-1102.313506,-1866.265728,-783.142829,274.319396,4
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",13200,0.051792,200.0,11,-1110.877252,-1744.990533,-907.879805,244.936956,5
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",15400,0.055604,200.0,11,-1338.721019,-1754.221088,-785.143429,345.402428,6
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",17600,0.052363,200.0,11,-1242.409601,-1657.346224,-884.549928,267.906372,7
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",19800,0.051906,200.0,11,-1114.540626,-1727.465182,-870.550618,257.644149,8
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",22000,0.051937,200.0,11,-1181.988977,-1500.083431,-899.08921,202.912698,9
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",24200,0.054304,200.0,11,-1170.85602,-1729.674119,-896.788279,284.445306,10
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",26400,0.052491,200.0,11,-1221.178755,-1846.45072,-864.72509,304.259437,11
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",28600,0.052878,200.0,11,-1309.9676,-1770.173175,-902.307712,318.051503,12
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",30800,0.054407,200.0,11,-1073.923864,-1759.649027,-788.1676,253.50564,13
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",33000,0.054399,200.0,11,-1181.088214,-1521.826732,-880.739206,224.202688,14
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",35200,0.051129,200.0,11,-1173.686409,-1815.311359,-917.683355,241.92028,15
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",37400,0.0511,200.0,11,-1174.060781,-1791.193998,-795.490532,288.506162,16
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",39600,0.051172,200.0,11,-1108.079979,-1468.710295,-855.629563,171.972584,17
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",41800,0.054407,200.0,11,-1251.631821,-1553.193474,-921.565055,216.286103,18
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",44000,0.051289,200.0,11,-1143.040629,-1522.214542,-869.811825,219.848436,19
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",46200,0.051128,200.0,11,-1209.159184,-1515.53037,-899.157899,168.353816,20
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",48400,0.051092,200.0,11,-1177.072193,-1545.242605,-755.878748,232.089251,21
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",50600,0.053831,200.0,11,-1185.152142,-1549.589906,-881.636518,242.460346,22
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",52800,0.053215,200.0,11,-1239.095813,-1670.746627,-860.469433,284.207956,23
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",55000,0.053392,200.0,11,-1021.690645,-1486.868529,-700.898011,195.477496,24
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",57200,0.052682,200.0,11,-1190.4217,-1678.905576,-751.398683,295.870954,25
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, GAE advantage, normalize ret/adv)",59400,0.055527,200.0,11,-1194.895388,-1621.398489,-761.132946,287.464694,26
