,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",2200,0.034754,200.0,11,-1224.634815,-1633.46679,-739.713681,293.073728
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",4400,0.036874,200.0,11,-1441.58307,-1705.994783,-1175.832823,171.56261
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",6600,0.03804,200.0,11,-1365.479774,-1711.787212,-891.640557,304.163886
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",8800,0.035061,200.0,11,-1038.005994,-1311.711244,-787.754517,170.839371
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",11000,0.035093,200.0,11,-1092.722735,-1866.059439,-756.535435,279.626146
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",13200,0.035048,200.0,11,-1121.539449,-1745.19701,-879.244014,238.600607
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",15400,0.033942,200.0,11,-1352.235598,-1760.571001,-889.13625,334.843413
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",17600,0.036051,200.0,11,-1190.579659,-1653.356614,-734.265363,300.80297
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",19800,0.035423,200.0,11,-1115.17762,-1714.282188,-897.717799,242.883439
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",22000,0.033665,200.0,11,-1188.908039,-1537.50233,-786.519612,246.123919
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",24200,0.033828,200.0,11,-1202.385447,-1749.395019,-959.201866,278.200167
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",26400,0.034023,200.0,11,-1225.924792,-1843.886194,-911.275398,294.038398
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",28600,0.035968,200.0,11,-1294.292773,-1771.460211,-815.065792,328.676651
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",30800,0.037756,200.0,11,-1121.062888,-1777.378959,-895.108051,238.867973
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",33000,0.035529,200.0,11,-1198.213465,-1559.232447,-878.391036,241.010304
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",35200,0.035005,200.0,11,-1161.620345,-1820.078991,-963.019569,248.916991
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",37400,0.035293,200.0,11,-1145.083226,-1803.985063,-883.271877,297.366686
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",39600,0.036279,200.0,11,-1138.080659,-1493.665149,-872.963992,167.898069
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",41800,0.036495,200.0,11,-1260.358386,-1568.857417,-1020.040217,213.153304
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",44000,0.03679,200.0,11,-1160.567613,-1520.992635,-760.368852,215.410589
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",46200,0.033985,200.0,11,-1192.321122,-1500.340866,-910.617273,165.298006
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",48400,0.040499,200.0,11,-1173.835536,-1515.741418,-914.445183,179.10279
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",50600,0.035408,200.0,11,-1156.792409,-1505.101153,-747.292749,202.958052
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",52800,0.035845,200.0,11,-1240.752939,-1643.694926,-970.016268,243.437014
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",55000,0.037585,200.0,11,-1014.559454,-1389.156946,-872.943359,134.362255
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",57200,0.034969,200.0,11,-1183.589326,-1632.6613,-936.564758,247.386105
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",59400,0.034207,200.0,11,-1160.854588,-1578.299715,-802.049038,269.732625
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",61600,0.033779,200.0,11,-1102.463056,-1467.05504,-904.126815,186.132923
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",63800,0.034936,200.0,11,-1302.782467,-1679.290707,-1027.668427,202.233402
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",66000,0.036234,200.0,11,-1117.701841,-1532.485498,-904.87668,193.084225
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",68200,0.037263,200.0,11,-1169.059348,-1746.97155,-898.631871,255.510165
0,"exp_name: Pendulum-v1_2023-01-15 (seperate network, TD GAE advantage, normalize ret)",70400,0.033616,200.0,11,-1085.309339,-1501.01532,-876.418293,175.193417
