,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: flythrugate-aviary-v0_2023-01-22,2048,0.001152,1.0,2048,-4.06406,-4.064325,-4.063798,7.7e-05,0,39.52324819564819
1,exp_name: flythrugate-aviary-v0_2023-01-22,4096,0.001115,1.0,2048,-4.064055,-4.064297,-4.063761,7.9e-05,1,78.45166325569153
2,exp_name: flythrugate-aviary-v0_2023-01-22,6144,0.001089,1.0,2048,-4.06405,-4.064287,-4.063827,7.5e-05,2,116.69923400878906
3,exp_name: flythrugate-aviary-v0_2023-01-22,8192,0.001146,1.0,2048,-4.064041,-4.064287,-4.063773,7.7e-05,3,155.85886001586914
4,exp_name: flythrugate-aviary-v0_2023-01-22,10240,0.001148,1.0,2048,-4.064027,-4.064296,-4.063735,7.8e-05,4,194.6047339439392
0,exp_name: flythrugate-aviary-v0_2023-01-22,12288,0.001113,1.0,2048,-4.06401,-4.064267,-4.063736,7.7e-05,5,233.188383102417
1,exp_name: flythrugate-aviary-v0_2023-01-22,14336,0.001078,1.0,2048,-4.063993,-4.064236,-4.0637,7.9e-05,6,271.11404490470886
2,exp_name: flythrugate-aviary-v0_2023-01-22,16384,0.001092,1.0,2048,-4.063976,-4.064226,-4.063702,7.7e-05,7,309.5114948749542
3,exp_name: flythrugate-aviary-v0_2023-01-22,18432,0.001103,1.0,2048,-4.063958,-4.064221,-4.063721,7.9e-05,8,348.07290601730347
4,exp_name: flythrugate-aviary-v0_2023-01-22,20480,0.001133,1.0,2048,-4.063944,-4.064244,-4.063698,8e-05,9,387.3796579837799
0,exp_name: flythrugate-aviary-v0_2023-01-22,22528,0.001098,1.0,2048,-4.063922,-4.064164,-4.063614,7.8e-05,10,425.56114315986633
1,exp_name: flythrugate-aviary-v0_2023-01-22,24576,0.0011,1.0,2048,-4.063909,-4.064175,-4.063646,7.8e-05,11,463.94329285621643
2,exp_name: flythrugate-aviary-v0_2023-01-22,26624,0.000998,1.0,2048,-4.063892,-4.064158,-4.063602,7.9e-05,12,500.4076988697052
3,exp_name: flythrugate-aviary-v0_2023-01-22,28672,0.001,1.0,2048,-4.063871,-4.064124,-4.063597,8e-05,13,536.7149801254272
4,exp_name: flythrugate-aviary-v0_2023-01-22,30720,0.001009,1.0,2048,-4.063853,-4.064127,-4.063594,7.9e-05,14,573.5658781528473
