,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: hover_ppo_v2_2023-01-24,2048,0.000543,1.0,2048,-0.787656,-0.787695,-0.787618,1.1e-05,1,29.1807758808136
1,exp_name: hover_ppo_v2_2023-01-24,4096,0.000497,1.0,2048,-0.787656,-0.787696,-0.787619,1.1e-05,2,57.54545211791992
2,exp_name: hover_ppo_v2_2023-01-24,6144,0.000442,1.0,2048,-0.787656,-0.787692,-0.787613,1.1e-05,3,84.72243881225586
3,exp_name: hover_ppo_v2_2023-01-24,8192,0.000435,1.0,2048,-0.787655,-0.787693,-0.78762,1.1e-05,4,111.77750492095947
4,exp_name: hover_ppo_v2_2023-01-24,10240,0.000434,1.0,2048,-0.787655,-0.787688,-0.787612,1.1e-05,5,138.917466878891
0,exp_name: hover_ppo_v2_2023-01-24,12288,0.00044,1.0,2048,-0.787654,-0.787689,-0.787617,1.1e-05,6,166.1017038822174
1,exp_name: hover_ppo_v2_2023-01-24,14336,0.000432,1.0,2048,-0.787653,-0.787687,-0.787616,1.1e-05,7,193.20036101341248
2,exp_name: hover_ppo_v2_2023-01-24,16384,0.000432,1.0,2048,-0.787652,-0.78769,-0.787615,1.1e-05,8,220.27337288856506
3,exp_name: hover_ppo_v2_2023-01-24,18432,0.00043,1.0,2048,-0.78765,-0.787683,-0.787613,1.1e-05,9,247.35152101516724
4,exp_name: hover_ppo_v2_2023-01-24,20480,0.000438,1.0,2048,-0.787648,-0.787682,-0.787606,1.1e-05,10,274.61959505081177
