,episodes,training time,eval episodes,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.137779951095581,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,2048,0.509703,1024.0,-811.612028,-819.823575,-803.400482,8.211546
1,2,2.2248268127441406,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,4096,0.488325,1024.0,-774.609253,-779.604645,-769.61386,4.995392
2,3,3.325239658355713,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,6144,0.491571,1024.0,-816.753377,-817.947272,-815.559482,1.193895
3,4,4.4511449337005615,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,8192,0.506069,1024.0,-781.309977,-793.589999,-769.029954,12.280022
4,5,5.509856939315796,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,10240,0.469823,1024.0,-783.893986,-792.976793,-774.811178,9.082807
0,6,6.5959858894348145,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,12288,0.480216,1024.0,-766.899708,-773.288243,-760.511172,6.388536
1,7,7.633725881576538,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,14336,0.462674,1024.0,-726.273807,-727.670282,-724.877332,1.396475
2,8,8.665948867797852,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,16384,0.460814,1024.0,-713.100513,-719.828787,-706.372239,6.728274
3,9,9.78135085105896,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,18432,0.501602,1024.0,-703.321067,-705.892805,-700.74933,2.571737
4,10,10.793556928634644,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,20480,0.450689,1024.0,-679.074316,-683.274138,-674.874494,4.199822
0,11,11.833296775817871,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,22528,0.464099,1024.0,-671.740717,-699.903247,-643.578187,28.16253
1,12,12.875658988952637,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,24576,0.464906,1024.0,-666.866295,-683.6178,-650.114789,16.751506
2,13,13.872785806655884,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,26624,0.44566,1024.0,-675.228647,-678.16495,-672.292344,2.936303
3,14,14.91611385345459,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,28672,0.464803,1024.0,-701.548441,-718.798032,-684.29885,17.249591
4,15,15.925037622451782,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,30720,0.449501,1024.0,-740.365654,-745.370802,-735.360505,5.005148
0,16,16.930967807769775,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,32768,0.447058,1024.0,-730.132063,-735.641232,-724.622894,5.509169
1,17,17.976524829864502,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,34816,0.46843,1024.0,-767.260712,-769.411435,-765.109988,2.150724
2,18,18.964500904083252,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,36864,0.439512,1024.0,-773.043256,-798.944568,-747.141943,25.901312
3,19,19.972087621688843,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,38912,0.447135,1024.0,-779.242752,-780.349526,-778.135978,1.106774
4,20,21.015864849090576,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,40960,0.466923,1024.0,-772.378762,-776.894233,-767.863292,4.51547
0,21,22.04148292541504,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,43008,0.45399,1024.0,-827.712712,-831.021424,-824.403999,3.308712
1,22,23.08911895751953,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,45056,0.466143,1024.0,-819.165517,-826.905983,-811.425052,7.740465
2,23,24.096463680267334,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,47104,0.448949,1024.0,-853.333447,-857.067546,-849.599347,3.734099
3,24,25.108238697052002,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,49152,0.450824,1024.0,-881.74587,-934.542159,-828.94958,52.796289
4,25,26.153558015823364,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,51200,0.466593,1024.0,-921.833986,-939.618553,-904.049418,17.784567
0,26,27.166255712509155,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,53248,0.450108,1024.0,-946.596527,-953.989803,-939.203251,7.393276
1,27,28.179606676101685,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,55296,0.449614,1024.0,-1036.866573,-1094.299604,-979.433542,57.433031
2,28,29.234644889831543,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,57344,0.473472,1024.0,-1118.223938,-1129.204021,-1107.243855,10.980083
3,29,30.223002910614014,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,59392,0.441935,1024.0,-1124.265465,-1163.420811,-1085.11012,39.155345
4,30,31.27049970626831,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,61440,0.46562,1024.0,-1244.750756,-1264.866715,-1224.634797,20.115959
0,31,32.28260087966919,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,63488,0.445552,1024.0,-1271.816609,-1290.566395,-1253.066822,18.749787
1,32,33.276957750320435,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,65536,0.443632,1024.0,-1418.748453,-1457.161658,-1380.335247,38.413205
2,33,34.32862162590027,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,67584,0.470725,1024.0,-1476.570214,-1478.811678,-1474.328751,2.241463
3,34,35.3303747177124,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,69632,0.446638,1024.0,-1589.786627,-1668.107958,-1511.465296,78.321331
4,35,36.34317684173584,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,71680,0.447807,1024.0,-1706.587704,-1738.254021,-1674.921387,31.666317
0,36,37.38340187072754,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,73728,0.464067,1024.0,-1873.239906,-1880.757879,-1865.721934,7.517973
1,37,38.38955497741699,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,75776,0.448201,1024.0,-2151.061456,-2204.936264,-2097.186649,53.874807
2,38,39.435436725616455,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,77824,0.468198,1024.0,-2273.308569,-2321.230815,-2225.386323,47.922246
3,39,40.433594703674316,2,exp_name: hover_ppo_v2_ActionType.PID_2023-01-27,79872,0.44371,1024.0,-2438.889052,-2461.332236,-2416.445868,22.443184
