,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: random_agent takeoff-aviary-v0_2023-01-23,2048,0.000496,1.0,2048,-0.888887,-0.888993,-0.888775,3.9e-05,1,27.747480869293213
1,exp_name: random_agent takeoff-aviary-v0_2023-01-23,4096,0.000467,1.0,2048,-0.888886,-0.888998,-0.888764,3.9e-05,2,55.074220180511475
2,exp_name: random_agent takeoff-aviary-v0_2023-01-23,6144,0.000474,1.0,2048,-0.888887,-0.888999,-0.888772,3.8e-05,3,82.56277704238892
3,exp_name: random_agent takeoff-aviary-v0_2023-01-23,8192,0.000464,1.0,2048,-0.888887,-0.888997,-0.88877,3.9e-05,4,109.84304690361023
4,exp_name: random_agent takeoff-aviary-v0_2023-01-23,10240,0.000465,1.0,2048,-0.888887,-0.888995,-0.888777,3.8e-05,5,137.39105916023254
0,exp_name: random_agent takeoff-aviary-v0_2023-01-23,12288,0.000566,1.0,2048,-0.888888,-0.888996,-0.88878,4e-05,6,166.64298105239868
1,exp_name: random_agent takeoff-aviary-v0_2023-01-23,14336,0.000549,1.0,2048,-0.888887,-0.889004,-0.888774,3.9e-05,7,195.71663808822632
2,exp_name: random_agent takeoff-aviary-v0_2023-01-23,16384,0.000482,1.0,2048,-0.888888,-0.888992,-0.888782,3.8e-05,8,223.4427740573883
3,exp_name: random_agent takeoff-aviary-v0_2023-01-23,18432,0.000511,1.0,2048,-0.888888,-0.888999,-0.888782,3.8e-05,9,251.79311108589172
4,exp_name: random_agent takeoff-aviary-v0_2023-01-23,20480,0.000565,1.0,2048,-0.888887,-0.888995,-0.888766,3.8e-05,10,281.14636397361755
0,exp_name: random_agent takeoff-aviary-v0_2023-01-23,22528,0.000565,1.0,2048,-0.888888,-0.888999,-0.888773,3.9e-05,11,309.99439120292664
1,exp_name: random_agent takeoff-aviary-v0_2023-01-23,24576,0.000512,1.0,2048,-0.888888,-0.889006,-0.888775,3.9e-05,12,338.40435099601746
2,exp_name: random_agent takeoff-aviary-v0_2023-01-23,26624,0.000551,1.0,2048,-0.888887,-0.889001,-0.888778,3.9e-05,13,367.8181049823761
3,exp_name: random_agent takeoff-aviary-v0_2023-01-23,28672,0.000489,1.0,2048,-0.888888,-0.889005,-0.888771,3.9e-05,14,395.6527290344238
4,exp_name: random_agent takeoff-aviary-v0_2023-01-23,30720,0.0005,1.0,2048,-0.888887,-0.88901,-0.88877,4e-05,15,423.46771597862244
0,exp_name: random_agent takeoff-aviary-v0_2023-01-23,32768,0.000473,1.0,2048,-0.888887,-0.889002,-0.888769,4e-05,16,450.85190415382385
1,exp_name: random_agent takeoff-aviary-v0_2023-01-23,34816,0.000499,1.0,2048,-0.888889,-0.889002,-0.888765,4e-05,17,478.97855401039124
2,exp_name: random_agent takeoff-aviary-v0_2023-01-23,36864,0.000519,1.0,2048,-0.888889,-0.889001,-0.88877,3.9e-05,18,507.2625250816345
3,exp_name: random_agent takeoff-aviary-v0_2023-01-23,38912,0.000574,1.0,2048,-0.888887,-0.888998,-0.888768,4e-05,19,536.7529759407043
4,exp_name: random_agent takeoff-aviary-v0_2023-01-23,40960,0.000548,1.0,2048,-0.888888,-0.888995,-0.888765,3.9e-05,20,565.5689251422882
0,exp_name: random_agent takeoff-aviary-v0_2023-01-23,43008,0.000531,1.0,2048,-0.888888,-0.889005,-0.888775,3.9e-05,21,594.3874700069427
1,exp_name: random_agent takeoff-aviary-v0_2023-01-23,45056,0.000501,1.0,2048,-0.888886,-0.889007,-0.888777,3.9e-05,22,622.4137601852417
