,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,2048,0.000806,1.0,2048,-0.888889,-0.889662,-0.887238,0.000428,1,30.69517707824707
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,4096,0.000775,1.0,2048,-0.888863,-0.889662,-0.887417,0.000436,2,60.93181920051575
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,6144,0.000792,1.0,2048,-0.888899,-0.889662,-0.887468,0.000425,3,90.93791222572327
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,8192,0.00074,1.0,2048,-0.888867,-0.889662,-0.887275,0.000427,4,120.25863003730774
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,10240,0.000713,1.0,2048,-0.88885,-0.889662,-0.887229,0.000433,5,149.34861207008362
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,12288,0.000702,1.0,2048,-0.888826,-0.889662,-0.887439,0.000437,6,178.01116490364075
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,14336,0.000782,1.0,2048,-0.888785,-0.889662,-0.887319,0.000429,7,208.07293009757996
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,16384,0.000689,1.0,2048,-0.888742,-0.889662,-0.88727,0.000439,8,236.82431602478027
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,18432,0.000713,1.0,2048,-0.888718,-0.889662,-0.887435,0.00044,9,265.7112572193146
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,20480,0.000765,1.0,2048,-0.888681,-0.889662,-0.887255,0.000436,10,295.46882009506226
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,22528,0.000708,1.0,2048,-0.888632,-0.889662,-0.887314,0.000443,11,324.33701610565186
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,24576,0.000735,1.0,2048,-0.888581,-0.889662,-0.887222,0.00046,12,353.52831411361694
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,26624,0.000769,1.0,2048,-0.888524,-0.889662,-0.887222,0.000454,13,383.10245513916016
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,28672,0.000777,1.0,2048,-0.888457,-0.889662,-0.887222,0.000441,14,412.9709949493408
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,30720,0.000723,1.0,2048,-0.888394,-0.889657,-0.887222,0.000451,15,442.1542811393738
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,32768,0.000804,1.0,2048,-0.888301,-0.889641,-0.887222,0.000442,16,472.5717701911926
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,34816,0.000752,1.0,2048,-0.888237,-0.889617,-0.887222,0.000441,17,502.0712170600891
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,36864,0.000758,1.0,2048,-0.888144,-0.889567,-0.887222,0.000438,18,531.5752251148224
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,38912,0.00081,1.0,2048,-0.888066,-0.889588,-0.887222,0.000433,19,561.8772330284119
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,40960,0.000747,1.0,2048,-0.887967,-0.889573,-0.887222,0.000417,20,591.2539920806885
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,43008,0.000708,1.0,2048,-0.887886,-0.889482,-0.887222,0.000421,21,620.3230390548706
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,45056,0.000665,1.0,2048,-0.8878,-0.889088,-0.887222,0.000408,22,648.4916679859161
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,47104,0.000657,1.0,2048,-0.887723,-0.88915,-0.887222,0.000389,23,676.5188810825348
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,49152,0.000657,1.0,2048,-0.887642,-0.888993,-0.887222,0.000363,24,704.5358772277832
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,51200,0.000655,1.0,2048,-0.88757,-0.888962,-0.887222,0.000342,25,732.5815191268921
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,53248,0.000666,1.0,2048,-0.887494,-0.889243,-0.887222,0.0003,26,760.743045091629
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,55296,0.00072,1.0,2048,-0.887442,-0.888665,-0.887222,0.000269,27,789.7200598716736
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,57344,0.000711,1.0,2048,-0.887403,-0.888722,-0.887222,0.000247,28,818.6547110080719
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,59392,0.00066,1.0,2048,-0.887358,-0.888812,-0.887222,0.000219,29,846.6675519943237
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,61440,0.000648,1.0,2048,-0.887329,-0.888681,-0.887222,0.000189,30,874.6180150508881
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,63488,0.000652,1.0,2048,-0.887294,-0.888456,-0.887222,0.000156,31,902.714860200882
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,65536,0.00065,1.0,2048,-0.887283,-0.888497,-0.887222,0.000141,32,930.6561601161957
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,67584,0.000648,1.0,2048,-0.887267,-0.888114,-0.887222,0.000116,33,958.518933057785
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,69632,0.000699,1.0,2048,-0.887252,-0.888254,-0.887222,9.5e-05,34,987.163339138031
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,71680,0.000679,1.0,2048,-0.887249,-0.888069,-0.887222,9.4e-05,35,1015.5781261920929
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,73728,0.000722,1.0,2048,-0.887238,-0.888081,-0.887222,6.4e-05,36,1044.2250182628632
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,75776,0.000689,1.0,2048,-0.887235,-0.888198,-0.887222,6.2e-05,37,1072.8268868923187
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,77824,0.000648,1.0,2048,-0.887233,-0.887995,-0.887222,5.1e-05,38,1100.9038181304932
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,79872,0.000648,1.0,2048,-0.887231,-0.887911,-0.887222,5e-05,39,1128.7655501365662
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,81920,0.00065,1.0,2048,-0.887228,-0.887833,-0.887222,3.9e-05,40,1156.868092060089
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,83968,0.000651,1.0,2048,-0.887225,-0.888105,-0.887222,3.2e-05,41,1184.94287109375
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,86016,0.000654,1.0,2048,-0.887227,-0.888047,-0.887222,4.4e-05,42,1213.042093038559
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,88064,0.000659,1.0,2048,-0.887225,-0.887734,-0.887222,2.9e-05,43,1241.0862469673157
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,90112,0.000651,1.0,2048,-0.887223,-0.887502,-0.887222,1.4e-05,44,1269.0530261993408
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,92160,0.00065,1.0,2048,-0.887223,-0.887611,-0.887222,1.6e-05,45,1297.1625111103058
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,94208,0.000646,1.0,2048,-0.887222,-0.887526,-0.887222,1e-05,46,1325.2150430679321
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,96256,0.000646,1.0,2048,-0.887223,-0.888204,-0.887222,2.5e-05,47,1353.119499206543
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,98304,0.000647,1.0,2048,-0.887222,-0.887332,-0.887222,5e-06,48,1381.0944421291351
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,100352,0.000648,1.0,2048,-0.887222,-0.887442,-0.887222,8e-06,49,1409.1823902130127
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,102400,0.00065,1.0,2048,-0.887222,-0.887504,-0.887222,7e-06,50,1437.220682144165
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,104448,0.000652,1.0,2048,-0.887222,-0.887359,-0.887222,3e-06,51,1465.320144891739
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,106496,0.000638,1.0,2048,-0.887222,-0.887483,-0.887222,6e-06,52,1492.9839560985565
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,108544,0.00065,1.0,2048,-0.887222,-0.887391,-0.887222,4e-06,53,1521.1975271701813
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,110592,0.000647,1.0,2048,-0.887222,-0.887325,-0.887222,3e-06,54,1549.0691180229187
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,112640,0.000765,1.0,2048,-0.887222,-0.887366,-0.887222,3e-06,55,1749.9845900535583
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,114688,0.00071,1.0,2048,-0.887222,-0.887813,-0.887222,1.3e-05,56,1779.388680934906
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,116736,0.000716,1.0,2048,-0.887222,-0.887319,-0.887222,3e-06,57,1808.3840782642365
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,118784,0.000688,1.0,2048,-0.887222,-0.887276,-0.887222,1e-06,58,1836.979562997818
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,120832,0.000681,1.0,2048,-0.887222,-0.887446,-0.887222,5e-06,59,1865.3854200839996
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,122880,0.000687,1.0,2048,-0.887222,-0.887283,-0.887222,1e-06,60,1893.9777281284332
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,124928,0.00068,1.0,2048,-0.887222,-0.887222,-0.887222,0.0,61,1922.4880940914154
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,126976,0.000715,1.0,2048,-0.887222,-0.887329,-0.887222,3e-06,62,1951.102688074112
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,129024,0.000682,1.0,2048,-0.887222,-0.887282,-0.887222,1e-06,63,1979.5645430088043
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,131072,0.000683,1.0,2048,-0.887222,-0.887238,-0.887222,0.0,64,2007.9983623027802
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,133120,0.00069,1.0,2048,-0.887222,-0.887222,-0.887222,0.0,65,2036.6181828975677
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,135168,0.000686,1.0,2048,-0.887222,-0.887373,-0.887222,3e-06,66,2064.9735832214355
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,137216,0.000681,1.0,2048,-0.887222,-0.887222,-0.887222,0.0,67,2093.5224120616913
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,139264,0.000681,1.0,2048,-0.887222,-0.887225,-0.887222,0.0,68,2121.9957790374756
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,141312,0.000683,1.0,2048,-0.887222,-0.887222,-0.887222,0.0,69,2150.49347114563
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,143360,0.000682,1.0,2048,-0.887222,-0.887222,-0.887222,0.0,70,2178.8428502082825
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,145408,0.000684,1.0,2048,-0.887222,-0.887222,-0.887222,0.0,71,2207.3312380313873
1,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,147456,0.000684,1.0,2048,-0.887222,-0.887242,-0.887222,0.0,72,2235.8251080513
2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,149504,0.000684,1.0,2048,-0.887222,-0.887222,-0.887222,0.0,73,2264.32093501091
3,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,151552,0.000684,1.0,2048,-0.887222,-0.887255,-0.887222,1e-06,74,2292.9666781425476
4,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,153600,0.000685,1.0,2048,-0.887222,-0.887222,-0.887222,0.0,75,2321.5569059848785
0,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,155648,0.000683,1.0,2048,-0.887222,-0.887222,-0.887222,0.0,76,2350.0642869472504
