,episodes,training time,eval episodes,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.076361894607544,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,2048,0.47898,1024.0,-936.564296,-976.520721,-896.607871,39.956425
1,2,2.138805866241455,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,4096,0.473741,1024.0,-783.108861,-800.438035,-765.779687,17.329174
2,3,3.2324557304382324,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,6144,0.486182,1024.0,-942.941955,-949.043523,-936.840388,6.101567
3,4,4.325165748596191,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,8192,0.490847,1024.0,-789.0531,-823.511269,-754.594932,34.458168
4,5,5.3180646896362305,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,10240,0.441023,1024.0,-767.505006,-790.365686,-744.644326,22.86068
0,6,6.362957715988159,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,12288,0.460857,1024.0,-701.528542,-704.971788,-698.085295,3.443246
1,7,7.364097833633423,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,14336,0.445682,1024.0,-600.84288,-603.580488,-598.105271,2.737609
2,8,8.378283023834229,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,16384,0.451558,1024.0,-592.580836,-601.03446,-584.127212,8.453624
3,9,9.428719758987427,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,18432,0.468351,1024.0,-587.788729,-598.299104,-577.278354,10.510375
4,10,10.420676708221436,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,20480,0.440982,1024.0,-548.305213,-558.407334,-538.203092,10.102121
0,11,11.434939861297607,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,22528,0.447615,1024.0,-530.602251,-574.445651,-486.75885,43.843401
1,12,12.49137568473816,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,24576,0.472379,1024.0,-530.880066,-556.851027,-504.909104,25.970961
2,13,13.512403964996338,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,26624,0.4543,1024.0,-509.257393,-509.566678,-508.948108,0.309285
3,14,14.558213710784912,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,28672,0.463883,1024.0,-510.829654,-532.368533,-489.290776,21.538878
4,15,15.564286947250366,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,30720,0.447654,1024.0,-558.481436,-563.023013,-553.939858,4.541577
0,16,16.56422185897827,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,32768,0.443848,1024.0,-521.551156,-524.184071,-518.918241,2.632915
1,17,17.608064889907837,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-26,34816,0.467873,1024.0,-519.847656,-539.507882,-500.187429,19.660226
