,episodes,training time,length per episode,experiment,timestep,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns
0,1,1.0869617462158203,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,2048,0.475097,1024.0,-864.816858,-869.351538,-860.282177,4.534681
1,2,2.1420600414276123,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,4096,0.464876,1024.0,-918.397092,-975.204999,-861.589185,56.807907
2,3,3.2292909622192383,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,6144,0.480079,1024.0,-740.232214,-749.382156,-731.082273,9.149941
3,4,4.377130031585693,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,8192,0.498604,1024.0,-695.771632,-714.888367,-676.654897,19.116735
4,5,5.443983793258667,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,10240,0.468343,1024.0,-735.218269,-791.800652,-678.635887,56.582383
0,6,6.584131717681885,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,12288,0.501503,1024.0,-622.918777,-625.895953,-619.941602,2.977175
1,7,7.664155721664429,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,14336,0.476469,1024.0,-708.026295,-745.814647,-670.237943,37.788352
2,8,8.67172884941101,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,16384,0.43854,1024.0,-700.712837,-764.554974,-636.8707,63.842137
3,9,9.737197875976562,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,18432,0.469323,1024.0,-645.508338,-690.978288,-600.038387,45.46995
4,10,10.802217960357666,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,20480,0.465077,1024.0,-614.95278,-641.906143,-587.999417,26.953363
0,11,11.89144492149353,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,22528,0.476362,1024.0,-616.881333,-633.939578,-599.823088,17.058245
1,12,12.940207719802856,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,24576,0.462602,1024.0,-609.697485,-623.521542,-595.873428,13.824057
2,13,13.934295654296875,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,26624,0.435464,1024.0,-583.7172,-625.116973,-542.317427,41.399773
3,14,14.988403797149658,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,28672,0.461237,1024.0,-626.271222,-631.308006,-621.234438,5.036784
4,15,16.033941984176636,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,30720,0.45944,1024.0,-654.580981,-665.837844,-643.324117,11.256864
0,16,17.137672901153564,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,32768,0.484703,1024.0,-579.85433,-607.579922,-552.128738,27.725592
1,17,18.164702892303467,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,34816,0.44956,1024.0,-562.079009,-563.835245,-560.322774,1.756235
2,18,19.17584490776062,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,36864,0.442376,1024.0,-573.578662,-585.989083,-561.16824,12.410422
3,19,20.251847982406616,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,38912,0.474581,1024.0,-573.941218,-613.278763,-534.603674,39.337544
4,20,21.286638736724854,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,40960,0.455001,1024.0,-547.963439,-549.578851,-546.348026,1.615413
0,21,22.379774808883667,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,43008,0.477916,1024.0,-576.401375,-582.197709,-570.605041,5.796334
1,22,23.45584988594055,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,45056,0.473242,1024.0,-593.319857,-603.954398,-582.685316,10.634541
2,23,24.49655294418335,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,47104,0.460383,1024.0,-569.342922,-583.566595,-555.119249,14.223673
3,24,25.563016891479492,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,49152,0.466574,1024.0,-639.200944,-689.051916,-589.349973,49.850972
4,25,26.55816674232483,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,51200,0.436752,1024.0,-618.050355,-634.290806,-601.809904,16.240451
0,26,27.61722183227539,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,53248,0.463759,1024.0,-587.984108,-599.145147,-576.823069,11.161039
1,27,28.670899868011475,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,55296,0.46232,1024.0,-601.433083,-617.863772,-585.002393,16.430689
2,28,29.708838939666748,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,57344,0.457393,1024.0,-579.398806,-580.029109,-578.768504,0.630303
3,29,30.819228887557983,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,59392,0.48806,1024.0,-580.702634,-604.581094,-556.824174,23.87846
4,30,31.871361017227173,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,61440,0.463326,1024.0,-555.050007,-582.282499,-527.817516,27.232492
0,31,32.90980887413025,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,63488,0.455653,1024.0,-525.538279,-547.199687,-503.876872,21.661407
1,32,33.97163271903992,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,65536,0.4686,1024.0,-607.283823,-653.214675,-561.352971,45.930852
2,33,34.979270935058594,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,67584,0.441741,1024.0,-638.709578,-640.881656,-636.537501,2.172077
3,34,35.98352003097534,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,69632,0.435637,1024.0,-602.858201,-639.10052,-566.615883,36.242318
4,35,37.065560817718506,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,71680,0.476204,1024.0,-581.882472,-608.719005,-555.04594,26.836533
0,36,38.11374473571777,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,73728,0.460873,1024.0,-587.438963,-595.353793,-579.524133,7.91483
1,37,39.19007587432861,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,75776,0.468431,1024.0,-632.125565,-677.925642,-586.325488,45.800077
2,38,40.22792196273804,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,77824,0.456713,1024.0,-666.349868,-711.828212,-620.871524,45.478344
3,39,41.2684588432312,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,79872,0.459476,1024.0,-560.412336,-572.275806,-548.548865,11.86347
4,40,42.34298086166382,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,81920,0.474731,1024.0,-541.191068,-544.958927,-537.42321,3.767859
0,41,43.36630582809448,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,83968,0.446991,1024.0,-549.778013,-563.281638,-536.274388,13.503625
1,42,44.409388065338135,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,86016,0.456241,1024.0,-558.975245,-585.152124,-532.798367,26.176879
2,43,45.455129861831665,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,88064,0.460103,1024.0,-562.124676,-570.801346,-553.448006,8.67667
3,44,46.478771924972534,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,90112,0.450671,1024.0,-520.842414,-522.037649,-519.647179,1.195235
4,45,47.56337094306946,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,92160,0.477204,1024.0,-532.675129,-559.643885,-505.706372,26.968757
