,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
0,0.472089,1024.0,-969.28191,-980.241194,-958.322627,10.959284,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,1.077836036682129,2048
1,0.48,1024.0,-812.798176,-846.869016,-778.727335,34.07084,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,2.166374921798706,4096
2,0.467701,1024.0,-762.514639,-793.964524,-731.064755,31.449885,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,3.2294862270355225,6144
3,0.487127,1024.0,-736.882026,-768.989384,-704.774668,32.107358,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,4.328953981399536,8192
4,0.442212,1024.0,-708.006765,-772.792006,-643.221523,64.785241,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,5.3405539989471436,10240
0,0.476421,1024.0,-586.916871,-602.819422,-571.014319,15.902551,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,6.437729120254517,12288
1,0.460879,1024.0,-549.188003,-567.788189,-530.587816,18.600186,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,7.485259056091309,14336
2,0.435794,1024.0,-537.650914,-560.877318,-514.424509,23.226404,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,8.485499858856201,16384
3,0.472041,1024.0,-593.955352,-602.302762,-585.607941,8.347411,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,9.55722713470459,18432
4,0.434194,1024.0,-594.019365,-611.6937,-576.345031,17.674335,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,10.54560112953186,20480
0,0.450654,1024.0,-560.547994,-598.987193,-522.108796,38.439199,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,11.581261157989502,22528
1,0.452298,1024.0,-553.901521,-569.634147,-538.168896,15.732626,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,12.612251996994019,24576
2,0.434332,1024.0,-540.818941,-547.761001,-533.876881,6.94206,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,13.600636005401611,26624
3,0.478674,1024.0,-500.669257,-501.778141,-499.560372,1.108884,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,14.686296224594116,28672
4,0.442952,1024.0,-493.734815,-500.693528,-486.776103,6.958712,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,15.69581913948059,30720
0,0.441612,1024.0,-493.134673,-506.097757,-480.171588,12.963085,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,16.704329013824463,32768
1,0.48301,1024.0,-510.998783,-514.158998,-507.838567,3.160215,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,17.797401905059814,34816
2,0.457272,1024.0,-474.018092,-495.956485,-452.0797,21.938393,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,18.83946394920349,36864
3,0.507581,1024.0,-542.855469,-553.893842,-531.817096,11.038373,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,19.99092698097229,38912
4,0.485917,1024.0,-540.115205,-544.156657,-536.073753,4.041452,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,21.091064929962158,40960
0,0.498462,1024.0,-534.378083,-551.423946,-517.332221,17.045862,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,22.227783918380737,43008
1,0.518639,1024.0,-552.200079,-568.098177,-536.30198,15.898098,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,23.39464497566223,45056
2,0.477029,1024.0,-538.417527,-539.781927,-537.053127,1.3644,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,24.474267959594727,47104
3,0.489462,1024.0,-522.17629,-527.184642,-517.167938,5.008352,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,25.583384037017822,49152
4,0.443524,1024.0,-548.373873,-572.485818,-524.261927,24.111945,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,26.58967089653015,51200
0,0.437592,1024.0,-602.336586,-617.984519,-586.688654,15.647933,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,27.59001922607422,53248
1,0.459924,1024.0,-555.874848,-563.574322,-548.175373,7.699475,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,28.630999088287354,55296
2,0.439213,1024.0,-520.906067,-521.403516,-520.408618,0.497449,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,29.632771253585815,57344
3,0.476409,1024.0,-552.931803,-615.505853,-490.357754,62.574049,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,30.712156057357788,59392
4,0.450599,1024.0,-503.216318,-514.806471,-491.626165,11.590153,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,31.736666917800903,61440
0,0.437621,1024.0,-435.522134,-438.308751,-432.735517,2.786617,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,32.73850083351135,63488
1,0.458863,1024.0,-437.063117,-445.711965,-428.414269,8.648848,2,exp_name: takeoff_ppo_v2_ActionType.PID_2023-01-30,33.78272604942322,65536
