,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: tune-aviary-v0_2023-01-22,2048,0.000801,1.0,2048,-16.78733,-16.78783,-16.787281,0.000138,1,29.969652891159058
1,exp_name: tune-aviary-v0_2023-01-22,4096,0.000688,1.0,2048,-16.787333,-16.78783,-16.787281,0.000145,2,58.195493936538696
2,exp_name: tune-aviary-v0_2023-01-22,6144,0.00074,1.0,2048,-16.787332,-16.78783,-16.787281,0.000142,3,87.19141888618469
3,exp_name: tune-aviary-v0_2023-01-22,8192,0.000746,1.0,2048,-16.787336,-16.78783,-16.787281,0.000147,4,116.32212686538696
4,exp_name: tune-aviary-v0_2023-01-22,10240,0.000771,1.0,2048,-16.787332,-16.78783,-16.787281,0.000141,5,145.81955981254578
0,exp_name: tune-aviary-v0_2023-01-22,12288,0.000719,1.0,2048,-16.787332,-16.78783,-16.787281,0.000142,6,174.5052628517151
1,exp_name: tune-aviary-v0_2023-01-22,14336,0.000684,1.0,2048,-16.787329,-16.78783,-16.787281,0.00014,7,202.72231888771057
2,exp_name: tune-aviary-v0_2023-01-22,16384,0.000674,1.0,2048,-16.787322,-16.78783,-16.787281,0.00013,8,230.5021848678589
3,exp_name: tune-aviary-v0_2023-01-22,18432,0.000668,1.0,2048,-16.787316,-16.78783,-16.787281,0.00012,9,258.3663737773895
4,exp_name: tune-aviary-v0_2023-01-22,20480,0.00069,1.0,2048,-16.787316,-16.78783,-16.787281,0.00012,10,286.3563446998596
