,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes,training time
0,exp_name: tune-aviary-v0_2023-01-23,2048,0.000775,1.0,2048,-16.78733,-16.78783,-16.787281,0.000138,1,29.619969129562378
1,exp_name: tune-aviary-v0_2023-01-23,4096,0.000675,1.0,2048,-16.787333,-16.78783,-16.787281,0.000145,2,57.957566022872925
2,exp_name: tune-aviary-v0_2023-01-23,6144,0.000694,1.0,2048,-16.787332,-16.78783,-16.787281,0.000142,3,86.37593913078308
3,exp_name: tune-aviary-v0_2023-01-23,8192,0.000674,1.0,2048,-16.787336,-16.78783,-16.787281,0.000147,4,114.59075212478638
4,exp_name: tune-aviary-v0_2023-01-23,10240,0.000686,1.0,2048,-16.787332,-16.78783,-16.787281,0.000141,5,143.02591490745544
0,exp_name: tune-aviary-v0_2023-01-23,12288,0.000696,1.0,2048,-16.787332,-16.78783,-16.787281,0.000142,6,171.28778100013733
1,exp_name: tune-aviary-v0_2023-01-23,14336,0.000716,1.0,2048,-16.787329,-16.78783,-16.787281,0.00014,7,199.58301186561584
2,exp_name: tune-aviary-v0_2023-01-23,16384,0.00071,1.0,2048,-16.787322,-16.78783,-16.787281,0.00013,8,228.1852629184723
3,exp_name: tune-aviary-v0_2023-01-23,18432,0.000692,1.0,2048,-16.787316,-16.78783,-16.787281,0.00012,9,256.71859312057495
4,exp_name: tune-aviary-v0_2023-01-23,20480,0.000756,1.0,2048,-16.787316,-16.78783,-16.787281,0.00012,10,285.80379915237427
0,exp_name: tune-aviary-v0_2023-01-23,22528,0.000734,1.0,2048,-16.787308,-16.78783,-16.787281,0.000105,11,314.94070410728455
1,exp_name: tune-aviary-v0_2023-01-23,24576,0.000735,1.0,2048,-16.787304,-16.78783,-16.787281,9.9e-05,12,343.8123688697815
2,exp_name: tune-aviary-v0_2023-01-23,26624,0.000726,1.0,2048,-16.7873,-16.78783,-16.787281,8.9e-05,13,372.74950098991394
3,exp_name: tune-aviary-v0_2023-01-23,28672,0.000733,1.0,2048,-16.787299,-16.78783,-16.787281,8.5e-05,14,401.8155589103699
4,exp_name: tune-aviary-v0_2023-01-23,30720,0.000742,1.0,2048,-16.787295,-16.78783,-16.787281,7.6e-05,15,430.79768991470337
0,exp_name: tune-aviary-v0_2023-01-23,32768,0.000717,1.0,2048,-16.787291,-16.78783,-16.787281,6.4e-05,16,459.465035200119
1,exp_name: tune-aviary-v0_2023-01-23,34816,0.000705,1.0,2048,-16.787291,-16.78783,-16.787281,6.7e-05,17,487.5068380832672
2,exp_name: tune-aviary-v0_2023-01-23,36864,0.000674,1.0,2048,-16.787288,-16.78783,-16.787281,5.4e-05,18,515.6816370487213
3,exp_name: tune-aviary-v0_2023-01-23,38912,0.000703,1.0,2048,-16.787287,-16.78783,-16.787281,4.8e-05,19,544.2010719776154
4,exp_name: tune-aviary-v0_2023-01-23,40960,0.000691,1.0,2048,-16.787285,-16.78783,-16.787281,3.9e-05,20,572.5530090332031
0,exp_name: tune-aviary-v0_2023-01-23,43008,0.000675,1.0,2048,-16.787284,-16.78783,-16.787281,3.1e-05,21,600.6790540218353
1,exp_name: tune-aviary-v0_2023-01-23,45056,0.000765,1.0,2048,-16.787282,-16.78783,-16.787281,2.2e-05,22,629.9438850879669
2,exp_name: tune-aviary-v0_2023-01-23,47104,0.000764,1.0,2048,-16.787282,-16.78783,-16.787281,2e-05,23,659.1285309791565
3,exp_name: tune-aviary-v0_2023-01-23,49152,0.000687,1.0,2048,-16.787282,-16.787775,-16.787281,1.2e-05,24,687.4888069629669
4,exp_name: tune-aviary-v0_2023-01-23,51200,0.000676,1.0,2048,-16.787282,-16.78783,-16.787281,2.2e-05,25,715.7095041275024
0,exp_name: tune-aviary-v0_2023-01-23,53248,0.000696,1.0,2048,-16.787282,-16.78783,-16.787281,1.7e-05,26,744.1815891265869
1,exp_name: tune-aviary-v0_2023-01-23,55296,0.000702,1.0,2048,-16.787282,-16.78783,-16.787281,1.4e-05,27,772.5731201171875
2,exp_name: tune-aviary-v0_2023-01-23,57344,0.000677,1.0,2048,-16.787281,-16.787721,-16.787281,1e-05,28,800.6317851543427
3,exp_name: tune-aviary-v0_2023-01-23,59392,0.000756,1.0,2048,-16.787282,-16.78783,-16.787281,1.7e-05,29,829.7722859382629
4,exp_name: tune-aviary-v0_2023-01-23,61440,0.000737,1.0,2048,-16.787282,-16.787695,-16.787281,1.4e-05,30,858.7196071147919
0,exp_name: tune-aviary-v0_2023-01-23,63488,0.000727,1.0,2048,-16.787281,-16.787643,-16.787281,1.1e-05,31,887.4721460342407
1,exp_name: tune-aviary-v0_2023-01-23,65536,0.000735,1.0,2048,-16.787281,-16.787457,-16.787281,4e-06,32,916.302521944046
2,exp_name: tune-aviary-v0_2023-01-23,67584,0.000719,1.0,2048,-16.787281,-16.787378,-16.787281,2e-06,33,944.7598659992218
3,exp_name: tune-aviary-v0_2023-01-23,69632,0.000726,1.0,2048,-16.787281,-16.787281,-16.787281,0.0,34,973.5898818969727
4,exp_name: tune-aviary-v0_2023-01-23,71680,0.000713,1.0,2048,-16.787281,-16.787627,-16.787281,9e-06,35,1001.8635499477386
0,exp_name: tune-aviary-v0_2023-01-23,73728,0.000688,1.0,2048,-16.787281,-16.787741,-16.787281,1.1e-05,36,1029.996132850647
1,exp_name: tune-aviary-v0_2023-01-23,75776,0.000745,1.0,2048,-16.787281,-16.787777,-16.787281,1.1e-05,37,1058.4897711277008
