,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",2200,0.249322,200.0,11,-1148.65178,-1513.985128,-745.708613,249.406351,0
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",4400,0.249771,200.0,11,-1331.64337,-1770.694559,-871.158431,301.752391,1
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",6600,0.210553,200.0,11,-1259.448129,-1812.628631,-768.084758,314.39994,2
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",8800,0.281218,200.0,11,-1050.616735,-1425.279547,-754.981025,192.490078,3
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",11000,0.273574,200.0,11,-1382.715178,-1799.365984,-860.561566,324.561146,4
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",13200,0.26392,200.0,11,-1144.666717,-1770.615362,-766.066703,297.181227,5
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",15400,0.296026,200.0,11,-1028.210764,-1509.527534,-778.886276,204.959671,6
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",17600,0.284673,200.0,11,-1069.198889,-1299.777117,-871.641465,148.184204,7
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",19800,0.257131,200.0,11,-1247.881825,-1687.403665,-896.230079,279.136412,8
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",22000,0.2448,200.0,11,-1092.910279,-1511.780031,-807.719322,237.194401,9
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",24200,0.272793,200.0,11,-1263.695093,-1653.844195,-882.118685,275.456543,10
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",26400,0.301278,200.0,11,-1089.623873,-1514.637135,-830.248188,230.547647,11
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",28600,0.296528,200.0,11,-1144.606571,-1787.672683,-888.078943,263.427566,12
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",30800,0.454752,200.0,11,-1249.72353,-1842.107507,-776.833831,313.314577,13
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",33000,0.400163,200.0,11,-1017.534821,-1584.379208,-752.560134,230.187097,14
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",35200,0.365448,200.0,11,-1188.689469,-1670.73977,-760.500481,279.47289,15
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",37400,0.526069,200.0,11,-1132.132681,-1686.962067,-838.762386,292.902555,16
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",39600,0.483459,200.0,11,-1281.069809,-1833.185375,-749.698048,330.928096,17
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",41800,0.377179,200.0,11,-1293.735869,-1554.452366,-964.294262,199.970066,18
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",44000,0.354653,200.0,11,-1208.598083,-1866.388163,-764.214311,354.633641,19
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",46200,0.373211,200.0,11,-1181.894638,-1559.335569,-753.745725,272.288704,20
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",48400,0.348237,200.0,11,-1231.44721,-1722.223151,-760.936641,282.520358,21
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",50600,0.312712,200.0,11,-1073.121913,-1467.77711,-882.882519,163.373245,22
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",52800,0.342948,200.0,11,-1066.830058,-1643.7303,-750.267142,236.965444,23
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",55000,0.310561,200.0,11,-1132.79428,-1508.529187,-873.196426,185.268501,24
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",57200,0.313617,200.0,11,-1217.363662,-1784.596275,-900.814133,275.632646,25
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",59400,0.332011,200.0,11,-1044.844919,-1331.274776,-963.663035,108.620499,26
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",61600,0.284255,200.0,11,-1199.88265,-1583.076973,-904.002556,230.365832,27
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",63800,0.298699,200.0,11,-1136.467962,-1757.002565,-998.89218,213.267343,28
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",66000,0.297942,200.0,11,-1286.968207,-1674.117208,-867.26942,297.049956,29
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",68200,0.264274,200.0,11,-1085.85106,-1477.815639,-887.273519,202.730543,30
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",70400,0.250407,200.0,11,-1087.950458,-1510.530411,-763.860349,203.327427,31
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",72600,0.246168,200.0,11,-1248.245296,-1668.072333,-900.402821,232.13881,32
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",74800,0.240504,200.0,11,-1041.081214,-1433.537772,-780.734679,164.197703,33
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",77000,0.238514,200.0,11,-1035.132122,-1391.327102,-749.23067,194.112689,34
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",79200,0.239667,200.0,11,-969.845946,-1588.388738,-631.047449,246.121345,35
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",81400,0.246291,200.0,11,-1082.621899,-1471.46355,-760.649559,249.827058,36
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",83600,0.247962,200.0,11,-1105.709428,-1573.533838,-755.519377,266.454251,37
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",85800,0.252201,200.0,11,-1016.884683,-1535.994903,-813.678149,211.190091,38
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",88000,0.245896,200.0,11,-1104.875082,-1610.631883,-890.190897,234.606882,39
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",90200,0.253276,200.0,11,-1030.693706,-1390.869985,-766.505826,188.64982,40
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",92400,0.245124,200.0,11,-1029.230905,-1345.898407,-748.884044,198.061999,41
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",94600,0.257992,200.0,11,-1161.039225,-1613.38013,-758.699393,259.970932,42
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",96800,0.254335,200.0,11,-1167.772151,-1689.851784,-722.568271,315.387223,43
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",99000,0.26743,200.0,11,-1017.906467,-1374.44798,-744.444974,185.376847,44
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",101200,0.254994,200.0,11,-1023.661961,-1234.192444,-865.392837,100.392149,45
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",103400,0.260617,200.0,11,-903.429708,-1331.041456,-698.802046,174.74678,46
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",105600,0.261423,200.0,11,-982.070133,-1340.743818,-630.003289,183.931942,47
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",107800,0.252841,200.0,11,-1014.894992,-1383.198372,-765.170897,192.524618,48
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",110000,0.267779,200.0,11,-1010.79515,-1348.085913,-751.03386,180.718505,49
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",112200,0.266857,200.0,11,-961.878774,-1196.655889,-755.160761,109.227248,50
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",114400,0.265302,200.0,11,-994.745512,-1368.382469,-755.229156,170.779613,51
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",116600,0.270563,200.0,11,-998.260092,-1288.744673,-746.851994,191.576044,52
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",118800,0.268935,200.0,11,-944.608937,-1339.281752,-632.708586,216.850165,53
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",121000,0.259968,200.0,11,-1000.626022,-1370.240376,-753.336722,177.647014,54
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",123200,0.270836,200.0,11,-894.248643,-1103.659122,-747.326816,121.747183,55
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",125400,0.278115,200.0,11,-920.983406,-1218.601755,-743.133742,159.015724,56
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",127600,0.281619,200.0,11,-903.201563,-1395.712359,-671.898522,183.304898,57
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",129800,0.280875,200.0,11,-882.814017,-1096.123898,-750.287243,95.940591,58
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",132000,0.272742,200.0,11,-876.534454,-1446.036878,-636.466965,207.383443,59
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",134200,0.267429,200.0,11,-902.183738,-1093.512877,-757.385719,102.377467,60
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",136400,0.281714,200.0,11,-830.157074,-1105.19188,-634.911642,117.980321,61
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",138600,0.274309,200.0,11,-816.578259,-1032.261012,-633.710201,123.562368,62
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",140800,0.269394,200.0,11,-883.720087,-1316.160658,-503.951992,260.091028,63
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",143000,0.270594,200.0,11,-896.708429,-1092.934426,-630.661061,134.643079,64
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",145200,0.266605,200.0,11,-805.757053,-1008.42834,-631.286936,131.160062,65
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",147400,0.248679,200.0,11,-805.226854,-1104.025641,-654.856822,110.237106,66
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",149600,0.253481,200.0,11,-854.863723,-1012.354122,-630.185536,116.021052,67
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",151800,0.258331,200.0,11,-854.70691,-1017.982901,-634.118993,134.264382,68
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",154000,0.25909,200.0,11,-815.935241,-994.280696,-632.667039,96.762132,69
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",156200,0.249492,200.0,11,-791.929782,-1007.493504,-628.337744,114.541988,70
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",158400,0.24963,200.0,11,-842.271367,-1360.700502,-524.230306,238.972338,71
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",160600,0.253293,200.0,11,-797.068258,-1117.273938,-632.862971,116.165903,72
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",162800,0.251064,200.0,11,-778.894417,-1030.140423,-635.017485,132.957805,73
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",165000,0.258085,200.0,11,-742.077825,-1181.181965,-512.832705,176.004683,74
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",167200,0.260333,200.0,11,-791.469357,-1087.728006,-633.448875,150.686687,75
0,"exp_name: Pendulum-v1_2023-01-29 (actor-critic advantage, new hyperparams, normalize adv) seed=5",169400,0.264219,200.0,11,-733.885923,-906.103483,-603.147995,107.340677,76
