,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",2200,0.366587,200.0,11,-1224.634817,-1633.466789,-739.71385,293.073712,0
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",4400,0.26681,200.0,11,-1451.437413,-1710.166195,-1181.374315,170.091871,1
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",6600,0.277821,200.0,11,-1397.958011,-1731.048887,-874.77946,304.793573,2
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",8800,0.329207,200.0,11,-1123.446144,-1407.879382,-749.252455,204.530052,3
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",11000,0.265753,200.0,11,-1170.29045,-1869.248266,-792.523263,281.420548,4
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",13200,0.222531,200.0,11,-1108.94905,-1751.380117,-821.032478,267.524057,5
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",15400,0.254386,200.0,11,-1353.973866,-1763.486061,-862.001236,340.375087,6
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",17600,0.298032,200.0,11,-1240.814768,-1643.223189,-879.195455,248.057533,7
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",19800,0.299695,200.0,11,-1143.937475,-1738.066074,-874.801234,248.238914,8
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",22000,0.240392,200.0,11,-1207.073454,-1526.479867,-875.477035,209.769026,9
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",24200,0.256135,200.0,11,-1161.833992,-1744.996288,-851.260992,295.474962,10
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",26400,0.301362,200.0,11,-1205.379223,-1832.219551,-806.658583,312.109938,11
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",28600,0.270888,200.0,11,-1319.459117,-1775.494049,-865.309335,310.523449,12
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",30800,0.413485,200.0,11,-1072.098517,-1790.224481,-850.867417,261.008024,13
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",33000,0.321859,200.0,11,-1125.215197,-1582.215185,-816.610955,315.321949,14
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",35200,0.270065,200.0,11,-1156.672916,-1839.889797,-761.71918,295.065827,15
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",37400,0.371233,200.0,11,-1093.505434,-1809.771641,-631.167654,352.458057,16
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, actor-critic advantage, normalize adv) seed=42",39600,0.333229,200.0,11,-1138.114129,-1579.625113,-836.379642,249.930938,17
