,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,"exp_name: Pendulum-v1_2023-01-29 (GAE advantage, new hyperparams, normalize ret) seed=20",2200,0.338496,200.0,11,-1209.310818,-1794.530421,-685.785006,374.853055,0
0,"exp_name: Pendulum-v1_2023-01-29 (GAE advantage, new hyperparams, normalize ret) seed=20",4400,0.268848,200.0,11,-1155.446721,-1734.51547,-638.223114,303.642818,1
0,"exp_name: Pendulum-v1_2023-01-29 (GAE advantage, new hyperparams, normalize ret) seed=20",6600,0.26508,200.0,11,-1259.247771,-1857.662261,-871.720385,288.956781,2
0,"exp_name: Pendulum-v1_2023-01-29 (GAE advantage, new hyperparams, normalize ret) seed=20",8800,0.247494,200.0,11,-1106.598842,-1722.136236,-768.625287,285.004447,3
0,"exp_name: Pendulum-v1_2023-01-29 (GAE advantage, new hyperparams, normalize ret) seed=20",11000,0.393042,200.0,11,-1180.431864,-1821.773711,-889.669314,277.648752,4
0,"exp_name: Pendulum-v1_2023-01-29 (GAE advantage, new hyperparams, normalize ret) seed=20",13200,0.386129,200.0,11,-1212.075333,-1749.711445,-902.093899,248.370849,5
0,"exp_name: Pendulum-v1_2023-01-29 (GAE advantage, new hyperparams, normalize ret) seed=20",15400,0.397668,200.0,11,-1218.635328,-1839.919844,-868.915908,318.96608,6
0,"exp_name: Pendulum-v1_2023-01-29 (GAE advantage, new hyperparams, normalize ret) seed=20",17600,0.434418,200.0,11,-1086.036292,-1402.219226,-893.177585,165.920417,7
0,"exp_name: Pendulum-v1_2023-01-29 (GAE advantage, new hyperparams, normalize ret) seed=20",19800,0.406433,200.0,11,-1095.736034,-1498.841976,-866.727874,187.964993,8
0,"exp_name: Pendulum-v1_2023-01-29 (GAE advantage, new hyperparams, normalize ret) seed=20",22000,0.452601,200.0,11,-1163.502563,-1504.648329,-778.521407,229.206255,9
0,"exp_name: Pendulum-v1_2023-01-29 (GAE advantage, new hyperparams, normalize ret) seed=20",24200,0.304104,200.0,11,-1087.046623,-1755.734847,-898.576481,229.880963,10
0,"exp_name: Pendulum-v1_2023-01-29 (GAE advantage, new hyperparams, normalize ret) seed=20",26400,0.306288,200.0,11,-1103.972181,-1472.599931,-898.368389,173.241754,11
0,"exp_name: Pendulum-v1_2023-01-29 (GAE advantage, new hyperparams, normalize ret) seed=20",28600,0.33257,200.0,11,-1087.599795,-1326.51764,-882.418553,157.826836,12
0,"exp_name: Pendulum-v1_2023-01-29 (GAE advantage, new hyperparams, normalize ret) seed=20",30800,0.299067,200.0,11,-1110.139735,-1424.765597,-882.911956,173.154112,13
