,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",2200,0.33689,200.0,11,-1224.634817,-1633.466789,-739.71385,293.073712,0
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",4400,0.311975,200.0,11,-1441.583067,-1705.994796,-1175.832823,171.562611,1
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",6600,0.336945,200.0,11,-1365.483433,-1711.787941,-891.64852,304.1606,2
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",8800,0.305226,200.0,11,-1037.910189,-1311.717927,-787.727298,170.932044,3
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",11000,0.26333,200.0,11,-1092.029734,-1866.061661,-743.768719,280.807505,4
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",13200,0.302689,200.0,11,-1121.42298,-1745.104169,-877.639595,238.830638,5
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",15400,0.26976,200.0,11,-1350.96442,-1764.558248,-843.727169,343.194178,6
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",17600,0.25051,200.0,11,-1210.69593,-1655.305933,-869.314464,281.051677,7
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",19800,0.266844,200.0,11,-1118.499586,-1717.084424,-907.880218,241.545369,8
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",22000,0.327564,200.0,11,-1202.24884,-1541.227451,-883.836719,230.579908,9
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",24200,0.363764,200.0,11,-1169.474926,-1743.176883,-847.443645,296.913495,10
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",26400,0.313781,200.0,11,-1226.564519,-1842.3967,-848.587928,291.767205,11
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",28600,0.307982,200.0,11,-1302.846237,-1769.564748,-876.843799,318.217244,12
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",30800,0.294221,200.0,11,-1104.048765,-1773.314074,-864.088897,251.97037,13
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",33000,0.336173,200.0,11,-1217.95596,-1571.454965,-963.917504,230.83386,14
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",35200,0.308249,200.0,11,-1164.184201,-1822.498189,-1001.997216,244.647762,15
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",37400,0.349707,200.0,11,-1166.168417,-1804.059227,-868.89812,289.174181,16
0,"exp_name: Pendulum-v1_2023-01-29 (seperate network, GAE advantage, normalize ret) seed=42",39600,0.301172,200.0,11,-1124.450038,-1479.623418,-861.115231,167.038463,17
