,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",2200,0.380959,200.0,11,-1224.634817,-1633.466789,-739.71385,293.073712,0
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",4400,0.339104,200.0,11,-1451.482851,-1710.192149,-1181.424891,170.080693,1
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",6600,0.452883,200.0,11,-1398.01758,-1731.103422,-875.057577,304.766185,2
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",8800,0.398712,200.0,11,-1122.550764,-1407.172035,-757.873942,203.958004,3
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",11000,0.325502,200.0,11,-1180.330751,-1869.937876,-806.794677,280.444469,4
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",13200,0.345045,200.0,11,-1088.459002,-1755.605086,-689.004582,293.800404,5
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",15400,0.413178,200.0,11,-1344.339759,-1776.994748,-740.916317,384.486775,6
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",17600,0.370513,200.0,11,-1260.724135,-1662.56207,-862.020589,261.90476,7
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",19800,0.322501,200.0,11,-1118.612963,-1736.916645,-861.222934,259.549424,8
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",22000,0.324374,200.0,11,-1173.662394,-1541.140565,-752.760156,267.21029,9
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",24200,0.278213,200.0,11,-1183.965676,-1754.908711,-906.780447,293.32031,10
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",26400,0.321926,200.0,11,-1229.708607,-1843.633186,-902.861835,297.978535,11
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",28600,0.34699,200.0,11,-1306.706685,-1783.62444,-872.66916,322.633921,12
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",30800,0.329847,200.0,11,-1113.740779,-1781.627137,-904.389609,236.847053,13
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",33000,0.292532,200.0,11,-1192.880847,-1539.656354,-892.974219,224.102823,14
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",35200,0.314192,200.0,11,-1183.191713,-1821.232518,-1012.122588,234.072067,15
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",37400,0.259478,200.0,11,-1194.13774,-1768.019754,-928.567878,257.391785,16
0,"exp_name: Pendulum-v1_2023-01-29 (reinforce advantage, normalize ret/adv)",39600,0.272752,200.0,11,-1076.577286,-1492.839974,-726.448147,200.378939,17
