step,mean_reward,max_reward,min_reward
2200,-1160.9181775454545,-858.970857,-1675.962537
4400,-1175.745096909091,-704.190094,-1833.326997
6600,-1237.8435367272727,-866.824408,-1777.217426
8800,-1362.0300034545455,-910.987339,-1819.93267
11000,-1164.7661348181819,-865.787509,-1630.652999
13200,-1039.512227,-613.040635,-1526.209259
15400,-1205.8954995454544,-905.319515,-1726.578938
17600,-1261.9222122727272,-885.025915,-1770.62867
19800,-1254.7244112727274,-912.525668,-1743.329694
22000,-1243.5166536363636,-873.668687,-1727.540009
24200,-1071.4336395454545,-789.706738,-1566.740376
26400,-1123.039180090909,-902.39012,-1537.923925
28600,-1264.682094090909,-912.654172,-1783.239193
30800,-1094.623092636364,-745.107999,-1559.185183
33000,-1108.817880909091,-793.1177,-1694.29507
35200,-1149.400128636364,-889.623937,-1838.057384
37400,-1182.883169181818,-847.947255,-1584.699091
39600,-1094.9983817272728,-755.830259,-1645.649706
41800,-1167.4139636363636,-749.671531,-1511.437374
44000,-1043.1773116363636,-821.787877,-1382.901199
46200,-1092.186766636364,-867.036245,-1210.464446
48400,-1036.2867348181817,-866.817812,-1575.944027
50600,-1056.454364090909,-863.181089,-1372.480097
52800,-1193.1215531818182,-981.353963,-1574.526217
55000,-1349.8346417272726,-808.501948,-1765.998746
57200,-1129.4543646363636,-785.661467,-1378.886588
59400,-1129.5975431818179,-755.296799,-1384.103805
61600,-1028.049271090909,-783.017312,-1220.65694
63800,-1141.1805635454546,-819.825879,-1425.789434
66000,-1053.3608748181816,-876.839495,-1318.176754
68200,-1299.1779395454546,-915.595946,-1588.566145
70400,-1149.5402503636362,-868.653676,-1376.27687
72600,-1253.0974480000002,-975.338588,-1531.673734
74800,-1033.4488487272727,-751.594489,-1400.570502
77000,-939.0102377272729,-740.656531,-1319.530177
79200,-988.7837026363638,-827.014117,-1283.563539
81400,-1066.6448294545453,-713.596468,-1525.597283
83600,-1101.0890988181818,-866.954318,-1575.143959
85800,-1024.087301909091,-825.332662,-1312.314099
88000,-1082.6611292727275,-758.584912,-1367.125141
90200,-974.0588953636362,-756.037899,-1318.239338
92400,-1076.3330537272725,-761.031226,-1528.600765
94600,-942.9081740000001,-724.909348,-1254.250063
96800,-1066.651080090909,-634.115158,-1354.568726
99000,-993.6287751818182,-765.531884,-1287.67157
101200,-1095.529062090909,-876.953424,-1379.044047
103400,-1074.214265818182,-758.791445,-1552.26383
105600,-1042.464932818182,-780.295962,-1259.578716
107800,-1087.6949108181818,-876.231176,-1397.146233
110000,-1035.743899909091,-908.684994,-1176.151322
112200,-1025.7992762727272,-758.252274,-1269.939287
114400,-1015.3385534545455,-663.544026,-1354.233515
116600,-992.2698918181818,-850.881331,-1294.130547
118800,-952.3180858181818,-632.14498,-1354.763805
121000,-1082.5328306363635,-750.061293,-1406.375198
123200,-988.8373639999999,-746.674902,-1311.305191
125400,-950.6303279090909,-630.178545,-1413.193393
127600,-975.9681855454546,-754.685673,-1402.849094
129800,-941.9702535454545,-757.99901,-1192.532379
132000,-955.8399989090908,-746.849805,-1054.823448
134200,-982.0592562727273,-753.386251,-1125.128045
136400,-1028.482743181818,-887.435977,-1198.79777
138600,-1098.7337966363636,-938.76019,-1322.724904
140800,-1072.5053215454545,-905.763985,-1176.759857
143000,-1027.9950750909093,-917.457439,-1134.962194
145200,-1005.4387366363636,-788.292873,-1191.751137
147400,-1030.6995527272727,-729.245425,-1215.355059
149600,-886.3722163636362,-539.503516,-1450.861033
151800,-863.3714810909091,-630.45778,-1227.462624
154000,-900.8441438181818,-629.342773,-1455.950444
156200,-902.0549814545454,-730.795869,-1177.810739
158400,-922.0431456363635,-631.840744,-1294.460663
160600,-871.3914427272728,-527.497236,-1218.448917
162800,-920.0831519999999,-634.078167,-1111.607615
165000,-940.1989382727272,-631.207057,-1312.678472
167200,-803.4958533636363,-544.836493,-1097.90543
169400,-840.7729556363637,-510.250092,-1189.132604
171600,-684.6544842727272,-521.508714,-942.635961
173800,-738.1416499999999,-503.722243,-1053.017321
176000,-553.2197298181819,-252.909133,-832.051633
178200,-563.0148482727272,-261.00362,-947.273703
180400,-508.0370643636363,-254.300394,-1239.989398
182600,-574.7448512727273,-126.01696,-1285.113161
184800,-555.4473407272727,-5.756131,-870.360138
187000,-580.4719892727272,-130.892541,-1011.027199
189200,-285.88893081818185,-5.480688,-652.966461
191400,-441.67740345454547,-3.188642,-855.71675
193600,-380.04850881818186,-0.974492,-1005.498305
195800,-343.07587490909094,-1.993754,-661.372613
198000,-571.1121234545456,-128.02704,-1063.398312
200200,-667.286907090909,-254.028248,-1194.128607
202400,-631.0821795454544,-126.475329,-1208.01558
204600,-438.66703136363634,-2.0656,-1050.206653
206800,-442.36757109090905,-1.607021,-1087.61507
209000,-601.9609863636364,-4.040502,-1190.660268
211200,-751.3910864545454,-2.832587,-1174.164179
213400,-653.4626783636363,-2.725052,-1072.869338
215600,-280.7713166363636,-6.509212,-530.543025
217800,-403.25083718181816,-1.546889,-779.433426
220000,-318.2935531818182,-128.96403,-651.00369
222200,-480.4130114545455,-125.391717,-1028.680494
224400,-370.4494547272727,-0.94974,-1045.745252
226600,-246.2983142727273,-125.069844,-782.748854
228800,-297.3155062727273,-1.103768,-821.366499
231000,-339.7050586363636,-125.420811,-688.156016
233200,-290.5151065454545,-0.822979,-923.563993
235400,-336.86911509090913,-122.738689,-1040.643367
237600,-329.64270736363636,-1.967447,-1044.968917
239800,-519.1747185454544,-246.991894,-959.782254
242000,-364.26391218181817,-0.613436,-1011.700406
244200,-162.10310745454547,-1.419443,-373.039132
246400,-299.92204227272725,-124.148703,-516.006605
248600,-262.12160618181815,-1.039574,-728.642894
250800,-555.1112604545456,-252.691679,-957.060149
253000,-466.9673032727273,-127.036816,-1037.206609
255200,-205.08063136363634,-0.853836,-489.023697
257400,-298.67087727272724,-1.090129,-624.598055
259600,-283.1640828181818,-1.102394,-603.29061
261800,-257.0105489090909,-122.00452,-642.563633
264000,-350.9667325454546,-127.690308,-677.7965
266200,-255.0805582727273,-3.611822,-521.915167
268400,-275.0242905454545,-2.650343,-658.43366
270600,-254.8311235454545,-0.993217,-507.554425
272800,-354.9921930909091,-1.235019,-878.456086
275000,-266.7761806363636,-0.883652,-621.449061
277200,-171.5037291818182,-1.053711,-381.93775
279400,-206.37354699999997,-0.669068,-615.057408
281600,-261.89218472727276,-121.10776,-585.792954
283800,-252.25068518181817,-126.360385,-381.766467
286000,-249.09294390909088,-0.708772,-899.524118
288200,-296.0012099090909,-121.22691,-923.043713
290400,-372.087701,-0.298082,-1021.526049
292600,-218.2821000909091,-1.838735,-392.029016
294800,-289.17156272727277,-0.838548,-774.08501
297000,-471.87340445454544,-124.073056,-914.51093
299200,-198.96880745454544,-0.448313,-543.952792
301400,-251.5945612727273,-0.892354,-645.482056
303600,-268.5342213636364,-121.833369,-642.246987
305800,-228.775047,-121.464053,-380.648279
308000,-204.15845136363632,-0.351092,-516.178236
310200,-220.89352718181817,-2.024359,-923.11919
312400,-259.03059245454546,-0.382417,-777.734976
314600,-295.6983108181818,-1.036331,-775.035116
316800,-228.59337599999998,-3.271395,-638.742906
319000,-487.6007592727273,-123.434,-1045.418952
321200,-358.9749276363636,-2.132342,-1011.123338
323400,-299.9804911818182,-0.929479,-806.935156
325600,-219.20751,-1.840732,-649.818255
327800,-244.53351045454545,-122.018027,-791.475332
330000,-218.18090036363637,-122.544465,-399.679953
332200,-254.38785490909092,-3.141302,-552.429942
334400,-329.2952603636364,-0.572995,-1069.531877
336600,-365.14211590909093,-126.802172,-1068.009525
338800,-269.0048161818182,-0.678749,-901.405296
341000,-178.77296627272727,-0.427223,-577.648988
343200,-182.45287745454547,-0.305162,-496.291929
345400,-196.81045581818182,-0.338006,-483.288909
347600,-228.57052327272729,-123.183391,-388.815934
349800,-218.2743999090909,-1.959979,-384.896768
352000,-318.48892263636367,-0.358756,-1086.763289
354200,-241.33361254545454,-0.448913,-534.000169
356400,-147.18888954545454,-1.206935,-367.129593
358600,-260.1830826363637,-1.635235,-534.399984
