,experiment,timestep,mean episodic runtime,mean episodic length,eval episodes,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,episodes
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",2200,0.349446,200.0,11,-1209.310818,-1794.530421,-685.785006,374.853055,0
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",4400,0.293095,200.0,11,-1172.512346,-1746.903985,-748.648569,285.915126,1
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",6600,0.297623,200.0,11,-1261.146247,-1861.966943,-829.479849,295.645086,2
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",8800,0.289581,200.0,11,-1146.212315,-1754.412114,-816.763054,281.800004,3
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",11000,0.336747,200.0,11,-1222.611524,-1852.470493,-746.227645,315.210181,4
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",13200,0.317454,200.0,11,-1251.505879,-1768.773759,-771.561621,269.890274,5
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",15400,0.318177,200.0,11,-1290.116665,-1860.238262,-816.031762,360.519336,6
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",17600,0.310415,200.0,11,-1079.036216,-1496.990421,-741.873716,274.188754,7
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",19800,0.333275,200.0,11,-1196.383261,-1707.301269,-894.963319,272.634313,8
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",22000,0.313643,200.0,11,-1276.804129,-1705.879432,-878.871364,293.015403,9
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",24200,0.304381,200.0,11,-1177.230533,-1850.136123,-862.18951,278.411827,10
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",26400,0.679554,200.0,11,-1193.593211,-1735.410534,-745.796529,307.931768,11
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",28600,0.394018,200.0,11,-1348.792521,-1642.354806,-848.9295,270.903331,12
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",30800,0.451066,200.0,11,-1350.232354,-1717.65175,-820.822004,293.74156,13
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",33000,0.509239,200.0,11,-1265.971964,-1623.906493,-1057.33002,186.645383,14
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",35200,0.4974,200.0,11,-1416.338816,-1662.127207,-1176.160096,170.172246,15
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",37400,0.425312,200.0,11,-1478.416888,-1695.872397,-1232.880795,143.981598,16
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",39600,0.378711,200.0,11,-1448.681747,-1828.705385,-1209.012889,206.50149,17
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",41800,0.469759,200.0,11,-1444.14643,-1696.983447,-1079.302779,197.168165,18
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",44000,0.494042,200.0,11,-1557.390627,-1853.300016,-1331.725507,166.29741,19
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",46200,0.36562,200.0,11,-1543.578409,-1785.283556,-1202.638826,206.21213,20
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",48400,0.361036,200.0,11,-1460.773865,-1793.987672,-1204.070394,165.416127,21
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",50600,0.378819,200.0,11,-1539.410277,-1780.333067,-1283.121246,178.705285,22
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",52800,0.377935,200.0,11,-1564.15241,-1875.066196,-1267.59093,196.069205,23
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",55000,0.360821,200.0,11,-1521.882131,-1828.261897,-1301.706071,188.332557,24
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",57200,0.386193,200.0,11,-1553.544285,-1829.89917,-1054.219007,214.897065,25
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",59400,0.354636,200.0,11,-1677.37607,-1842.787269,-1329.7373,144.228209,26
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",61600,0.371877,200.0,11,-1587.176986,-1869.068346,-1386.084614,154.032564,27
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",63800,0.356837,200.0,11,-1497.663923,-1684.243462,-1303.973444,110.544568,28
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",66000,0.338343,200.0,11,-1653.240859,-1885.960714,-1301.13461,184.942964,29
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",68200,0.41506,200.0,11,-1642.674305,-1859.396383,-1361.912137,181.402654,30
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",70400,0.353363,200.0,11,-1569.523662,-1782.952799,-1415.732057,104.276861,31
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",72600,0.361582,200.0,11,-1612.598391,-1885.161177,-1145.183371,214.799556,32
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",74800,0.370908,200.0,11,-1571.343358,-1761.205872,-1303.449471,140.889042,33
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",77000,0.342662,200.0,11,-1714.91795,-1898.571018,-1521.661873,130.487823,34
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",79200,0.358343,200.0,11,-1656.144537,-1893.590556,-1373.583404,191.433372,35
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",81400,0.34218,200.0,11,-1722.395552,-1869.098957,-1426.011122,142.384782,36
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",83600,0.354669,200.0,11,-1762.928146,-1904.50451,-1587.349749,115.613756,37
0,"exp_name: Pendulum-v1_2023-01-29 (TD actor-critic advantage, normalize ret) seed=20",85800,0.344779,200.0,11,-1709.102321,-1890.899906,-1523.40758,134.539392,38
