,mean episodic runtime,mean episodic length,mean episodic returns,min episodic returns,max episodic returns,std episodic returns,eval episodes,experiment name,total trainingsteps,total episodes
0,0.048047,200.0,-1246.104082,-1602.694268,-984.737116,189.457517,11,exp_name: Pendulum-v1_2023-01-30 (TEST),0,2200
0,0.054686,200.0,-1164.714068,-1585.105729,-769.954549,273.909853,11,exp_name: Pendulum-v1_2023-01-30 (TEST),1,4400
0,0.046568,200.0,-1145.412812,-1630.765361,-774.228694,285.861513,11,exp_name: Pendulum-v1_2023-01-30 (TEST),2,6600
0,0.041362,200.0,-1103.041019,-1673.96025,-763.546286,317.191173,11,exp_name: Pendulum-v1_2023-01-30 (TEST),3,8800
0,0.039712,200.0,-1218.974125,-1790.910118,-797.200421,294.524434,11,exp_name: Pendulum-v1_2023-01-30 (TEST),4,11000
0,0.041578,200.0,-1049.43174,-1467.590905,-707.066269,209.427723,11,exp_name: Pendulum-v1_2023-01-30 (TEST),5,13200
0,0.042964,200.0,-1071.981602,-1470.006814,-763.870515,231.943012,11,exp_name: Pendulum-v1_2023-01-30 (TEST),6,15400
0,0.038134,200.0,-1346.717531,-1715.451929,-989.602335,254.222189,11,exp_name: Pendulum-v1_2023-01-30 (TEST),7,17600
0,0.037563,200.0,-1098.818419,-1624.253141,-804.608606,277.124925,11,exp_name: Pendulum-v1_2023-01-30 (TEST),8,19800
0,0.039587,200.0,-1215.634343,-1729.430942,-872.660645,246.410441,11,exp_name: Pendulum-v1_2023-01-30 (TEST),9,22000
0,0.038152,200.0,-1125.497722,-1641.191221,-768.628873,263.712222,11,exp_name: Pendulum-v1_2023-01-30 (TEST),10,24200
0,0.037783,200.0,-1176.735366,-1596.874611,-758.846069,277.689723,11,exp_name: Pendulum-v1_2023-01-30 (TEST),11,26400
0,0.037394,200.0,-1100.244191,-1508.143245,-752.722164,264.600549,11,exp_name: Pendulum-v1_2023-01-30 (TEST),12,28600
0,0.039896,200.0,-953.446168,-1381.711221,-628.961184,218.43164,11,exp_name: Pendulum-v1_2023-01-30 (TEST),13,30800
0,0.037704,200.0,-1055.646291,-1560.428681,-742.337831,233.13282,11,exp_name: Pendulum-v1_2023-01-30 (TEST),14,33000
0,0.038637,200.0,-1084.032178,-1437.622516,-847.09666,228.516399,11,exp_name: Pendulum-v1_2023-01-30 (TEST),15,35200
0,0.04009,200.0,-1032.351436,-1438.342691,-765.248289,188.936262,11,exp_name: Pendulum-v1_2023-01-30 (TEST),16,37400
0,0.041129,200.0,-961.355574,-1426.956469,-787.176304,176.335642,11,exp_name: Pendulum-v1_2023-01-30 (TEST),17,39600
0,0.041536,200.0,-1138.764808,-1473.431874,-872.311483,218.876344,11,exp_name: Pendulum-v1_2023-01-30 (TEST),18,41800
0,0.038719,200.0,-1005.314199,-1368.363622,-644.554105,220.164739,11,exp_name: Pendulum-v1_2023-01-30 (TEST),19,44000
0,0.037245,200.0,-876.61389,-1077.96328,-740.952172,101.747671,11,exp_name: Pendulum-v1_2023-01-30 (TEST),20,46200
0,0.040638,200.0,-875.733993,-1112.141967,-657.853431,134.870099,11,exp_name: Pendulum-v1_2023-01-30 (TEST),21,48400
0,0.041994,200.0,-862.980522,-1120.089808,-630.028722,124.933738,11,exp_name: Pendulum-v1_2023-01-30 (TEST),22,50600
0,0.055507,200.0,-969.708689,-1424.213054,-717.584047,200.443116,11,exp_name: Pendulum-v1_2023-01-30 (TEST),23,52800
0,0.040375,200.0,-964.378314,-1339.993877,-746.16831,204.044717,11,exp_name: Pendulum-v1_2023-01-30 (TEST),24,55000
0,0.042587,200.0,-853.241009,-1207.439493,-742.390712,141.608344,11,exp_name: Pendulum-v1_2023-01-30 (TEST),25,57200
0,0.043783,200.0,-897.992375,-1410.210549,-503.588408,223.354964,11,exp_name: Pendulum-v1_2023-01-30 (TEST),26,59400
0,0.039808,200.0,-908.863841,-1245.575008,-751.860247,116.76867,11,exp_name: Pendulum-v1_2023-01-30 (TEST),27,61600
0,0.039647,200.0,-987.33297,-1254.709581,-759.678108,160.998115,11,exp_name: Pendulum-v1_2023-01-30 (TEST),28,63800
0,0.040148,200.0,-978.813141,-1290.897856,-752.582551,161.932479,11,exp_name: Pendulum-v1_2023-01-30 (TEST),29,66000
